"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"0","0.0001453280688291662","1.8593757918148425e-05","0","0.0049293311680383848","0.00040687015873082052","0.009818171621428104","0.0014804590577732562","0.0021898962074574698","0.00035932645881188744","0.0038062208642239666","7.3761619856566602e-05","0","0.0014919771287076518","0.00027900427553769207","0","0.0022542377563353313","0.0009725791603930941","0","0.00027334452872312335","0","0.00017731697190525436","0","0.00026213844316619773","2.0656931127395117e-05","0.0023897459258359587","0.008218808226073503","5.8844382259725671e-05","5.3226147620765731e-05","0.014246736456771622","0","0","0.00082296224532058166","0.0051974202383529037","0","0.00017937266267390535","0.01027538693944008","0","0","0.00034888218596363946","0.00085735712119066557","3.5537357399021743e-05","0.00011129070362011675","0","0.00082185516688241568","0.0024269017953880401","0","7.2516576836476519e-06","0.00047155081209544107","0.0056892136008145381","4.1602385200567315e-07","1.3243167179625793e-07","7.494423253267731e-05","0","0.0020296264096970806","0","0.0028531663138444182","8.725762631758446e-05","0.002815839910042917","3.0172495521512489e-05","0","0.00018441927630026959","9.9013811204573663e-06","0.00016445696164902923","0.00017815743135391246","0.0035684058932548674","0.00011774527322014572","0.00013651601446391671","0.0015613889191701188","0.0027726376465741697","2.8473060985220983e-05","1.3384745268165845e-06","5.028846695897216e-06","0","0.00044530235281007441","0.0005750614524426983","0.00019729114062508703","0.00014779614845175632","0.00032652036419350051","0","0.0004000897746853152","0.00032726656956719792","0.00038736996804646632","0","0.00080303346871537118","0","0.00027337817013707404","0.0015443915828282843","2.5581542722910867e-05","0","0","0","0","0.00016662909931243106"
"2","7.9217270401554457e-05","7.6380494855963373e-05","0","0.0011578171688916966","0.0001615563983789303","0.00080071505283816518","3.0635489214198049e-05","0.00033273472034069888","0.00020337208520055243","0.0018029182774013388","0.00015486347412806307","5.153476631150647e-05","0.00066348962899177811","0.00012771530360185471","4.4152466658378282e-07","0.00026098760447245144","0.00015225917483828712","2.3533731904027527e-05","4.4145189332283804e-05","0","0.00021242544741183162","4.0108370138091024e-05","0.0016600965673291173","0.001183564471790385","0.0014741037099669093","2.6263867720033307e-05","0.0001410113629835593","0.00016323105846891104","0.00031960221057275421","1.9015771100442847e-05","2.4204618097067155e-05","0.00079297230973192367","0.0013173335227487221","4.9399224362813388e-05","0.00016633696303760507","0.00032724190175907364","0","2.5699789290266871e-06","0.00018652779378691223","4.4545024931315152e-05","2.9539899817358024e-05","5.69751159314667e-05","0","2.8200279127222872e-05","0.00079052837965154781","0","2.6915866177857276e-05","5.7957811774053543e-05","0.00023234559297317459","0","4.4104495235668102e-06","4.4819839954551929e-05","0","0.00051737082535277155","9.4884633590544486e-06","0.0001412454341578649","0.00012397735149780281","0.00063266457281329941","9.2846560356311196e-05","0","0.0002677749360456007","7.2268667881057322e-06","8.9996006750194777e-06","3.790890183527275e-05","0.00028343661039083209","5.0661027177933605e-05","5.5392779649611128e-05","0.00011423173002521522","0.00046863807672531301","3.6280159308616163e-05","2.5089475794497815e-05","0.00010452848023410338","0","0.00077566326747303927","0.00021435457761121788","1.8298037278674817e-05","5.2824195969509142e-05","0.00055972341085724854","0","0.00055871314857418222","6.2075989930446878e-05","0.00017406458489358702","0","0.00051453384417426322","0","0.00020605454507396359","0.00021862426978304264","0.00017631414322388019","0","3.1769544518330091e-05","1.6177597971778846e-08","0","0.00011715154072759363"
"3","0.00035601617611822294","5.5641282220693686e-08","0","0.00029802276799463582","0.00086090747506302522","0.0028344332319233984","0.00047018692386405496","0.00093934181003345037","9.0682308034329445e-05","0.00064387744329686151","0.00018079501127047051","0","0.00057475795612476244","0.00011194335204716659","0","0.0011015601671617275","7.85540430045017e-07","0","8.0410212716903158e-05","0","1.3790210798544034e-05","0","0.00016845543749080573","1.9280633063030761e-05","0.00047578326981439969","1.6557780273447374e-06","0.0024529207511452041","4.8565366245795051e-05","0.00081430282818361005","0","0.0005950620552949206","0.00030559015221479031","0.0011080477856347372","0","0.00011815547494256846","0.00012066110382040762","0","0","0.00019923466199559824","5.9845905377997348e-06","2.9691062384625431e-06","7.4125265388365092e-05","0","0","0.0023895916732761193","0","1.0169680839569773e-05","4.0827789419125542e-05","0.001657627163884992","4.1812526134126025e-05","0","0.00059579789928872206","0","0.00032115669884323644","0","8.1248455433174306e-05","5.8359654627788925e-07","0.00026506093258012089","6.1723156186481803e-05","0","6.3917844190657664e-05","0","0.00017103538143872212","6.4659598158957592e-05","0.00020116725552744326","0.00025215252022188451","0.00011433543550218932","0.00022242551826778619","0.0004107315774493473","2.1176578198963912e-05","2.7032906907416696e-06","5.2901638129147431e-05","0","7.9689082462491463e-08","0.00031015043906433527","0.00032579289486230984","2.2798596165183816e-05","0.00030306655466015911","0","0.00087871590853376251","7.1177430441594965e-05","0.00056949135668876586","1.3316158384152342e-05","0.00046286691004614959","0","0.00026602098062605947","0.00045174633393333817","1.953770273778917e-05","0","0","7.5422698098779844e-07","0","2.5226954836604178e-05"
"11","2.9212856099100323e-05","7.0901237468222987e-05","0","0.0025796552065584259","0.00015598168233618825","0.00030312189039117317","3.5176394044788725e-05","0.00052749258527017625","4.705877965392763e-05","0.00053359340337558127","0.00015914540724185211","0.0015471613545673417","0.00041910683991755292","5.5361731299870209e-05","0.00047877729203530674","0.0018884152102149362","4.9859562974914749e-07","1.5843859938074336e-08","2.1763509676209865e-05","0","0.00011204772376001724","0","0.00068266192955501617","3.8531437645306579e-05","0.00047320463971122872","1.811412727826023e-06","2.832140084740946e-05","7.946246113172023e-05","0.0002566567505698262","0","0","0.00052873460366465363","0.00051040331447008212","0","0.00017981445942696266","0.00023088930888102204","0","0","0.0007827453038661453","7.7880836913003451e-05","1.6602102958917537e-06","4.7788265502696675e-05","0","8.1247022215159081e-06","0.0010924081142427119","0","2.0389074336966843e-05","3.5960995553949942e-05","0.00071796255677655763","0","0","5.4066712715405614e-05","0","0.00056859250661863857","0","0.0003962611654202861","7.8580173990679296e-05","0.00031565365577968711","0.00042960070763017471","0","0.00017200681769618406","0","0.00015859645794436602","2.1111344172637669e-08","0.00027658857869778633","5.0038493077592907e-05","1.8343428423757874e-06","0.00048446710059150066","0.00035221079483683116","2.1460415344890754e-08","1.5194249635282807e-08","8.0112586321206668e-05","0","4.683918307028422e-06","0.00037538401407424512","5.8594970292237367e-05","7.2203912022105381e-06","0.00014826351287775097","0","0.0002029969246131364","3.3447406106706362e-05","0.0048783700340491072","0","7.5637811925768501e-05","0","0.0001577920608029598","0.00013272535646166394","8.8690509758591641e-05","0","0","1.2869328853863502e-06","0","0.00020374854018928611"
"16","7.1696541899988396e-05","6.8429169514422761e-06","0","0.0012155027606286647","0.00036821594107785906","0.00093553898335110549","3.2222210566512371e-05","0.001176798209459621","0.00043110581481877223","0.00052506243811845674","0.0012026893984283019","0","0.00099661828972530397","2.9537109682951559e-05","4.4059547377700387e-07","0.0006284147351430172","0.00010243280540825873","9.6256378801608469e-08","3.1130810129121924e-05","0","9.661940130881004e-05","0","0.00068167756265110041","0.00021388625143238657","0.00085232074364534577","4.2527948988914606e-05","6.176020565685387e-05","1.0505604401065043e-05","0.00057626563804274479","0","0.00026392809846917246","0.00013817225967927832","0.00098375839140064686","0.0031980973938623846","2.8157643004451037e-05","4.3993473708827343e-05","0","2.135412631595093e-05","0.00014409831472459819","9.4908479390015199e-05","5.1992716302229058e-05","0.00013587118112645807","0","2.067230327990216e-05","0.00074397125622476001","0","0.00011057800009470099","4.3991932607218129e-05","0.00040513586274623268","0","1.1496739301827846e-07","3.6678402591401402e-05","0","0.00021165860353127307","1.2572235417635771e-08","0.00042840722552722819","0.00013588481150286435","0.00024698237073892033","2.2244680442241878e-05","0","0.0002853050916607992","0","2.9898021538872591e-05","6.6140005886075146e-06","0.0038971314309902564","0.00012612890829007887","0.00012430171400534663","0.00023474116254076335","0.00019554750798988566","4.7935024724141953e-06","8.8344382882025455e-06","3.8578751084717562e-05","0","4.4719799954028749e-05","0.00027260321693653049","6.3082254893558676e-07","2.1637439025932428e-06","0.00069159703174435222","0","0.00011144204889190647","7.2943818328235927e-05","0.00014604868675331984","0","0.00024339723275175373","0","0.00014826853612541764","0.00011739200376697254","1.6157992974289932e-05","0","9.0274430262784299e-07","1.7995230708195397e-06","0","0.0002588492973503252"
"17","0.00019388204816351114","0.00010530752856482421","0","0.0031570706654044222","0.00018874811378379711","0.00079761617352607569","0.00014445291745921319","0.0027881243066039097","0.00031808986096532271","0.0015583702411771719","0.00010304071652444221","0","0.00056512020047773197","0.00024717777201419672","1.0593837771416149e-05","0.00307157171596189","3.4487404752250064e-05","2.956035537767977e-06","0.00011559255727629895","0","0.00013136508928224001","1.2169222285235996e-05","0.0021457194999140532","0.00036106196274007346","0.00360940977882184","0.0016686532601948641","0.00044721497834818136","1.1195184079350198e-05","0.0024900144965349339","1.7469190483358994e-05","0.00026676558798099486","0.003456519460330668","0.0017081445321753827","3.311640825713622e-07","0.00024714667319521876","0.00055993787428692274","0","5.666061607521797e-05","0.0008141964279612914","0.00039694159713301084","1.1695910128445813e-05","0.00011641281731345061","0","5.3988496511721473e-05","0.0045066336401817049","0","2.7240423408797961e-06","0.0011927491652307999","0.0017662267822939571","0","9.6258138714563909e-06","0.00080251494498839466","0","0.0020361183769320875","1.7046887545393993e-05","0.002687116466885906","0.00089972610973427126","0.0018484618564003409","7.4392256129664748e-05","0","0.00030275536247013847","7.0373517031437898e-05","3.1882568046657012e-05","0.00023002519427802593","0.00082702123535806165","0.00036067692350291448","0.00018842838610512281","0.00068034624446152705","0.0027459285541767504","0.00013306721283718882","0.00016954051921726749","5.7617651646911989e-05","0","6.6802756608183456e-05","0.00063521782992796943","1.6429132030435573e-05","3.5811254697181463e-05","0.00065989098610533378","0","0.00011553708230147079","9.0328037223152044e-05","0.00086393859261469556","0","0.00081715284365139194","0","6.9840432762215395e-05","0.00021617786727725027","9.480394045636466e-05","0","0","0","0","0.00060949383760794081"
"18","3.7889696340987777e-05","0.00055828109543800113","0","0.0014361998973136624","0.00018810202840807323","0.0014542478543988187","0.00041270833927492859","0.00097219282465716686","6.8553540121756639e-05","0.0015066025509022827","2.2331075007293576e-05","0","0.0015808580499434061","0.00018466011955812461","5.1702986925105654e-06","0.0010820621310810373","2.8339042747634406e-05","0.0024818028371646652","5.641853558426407e-06","0","1.9731946439646172e-05","1.4159082941276043e-07","0.0012128651015526309","0.00026196784794161747","0.0020331252131195105","0.0093816296227013218","0.00019954205646335516","0.00039780454954600021","0.002166991069757544","0.00010336128295923559","1.973000196968149e-05","0.00069404729316181258","0.0010915838607806145","1.5178263247067415e-06","0.00022786711987264215","0.00040497507437957261","0","0","0.00024039992055170612","0.00011901366520222216","1.4398947063290789e-05","0.00011140861377903087","0","0","0.0014175857493121953","0","9.6950809010574964e-07","0.00014084417112938632","0.0036934048688473569","0","2.1997744426102961e-06","0.00018015990304893212","0","0.00078432960054333539","0","0.0011144210722602954","0.00011445645548426053","0.0013621621817810614","0.00010899272279208714","0","5.8906333463871426e-05","3.0883946248452759e-08","5.9667697132717196e-06","2.0322874771739776e-05","0.00080549231707429444","0.00012831240939298677","0.00014962523183733225","0.00027903169136093037","0.0012424647098288959","2.4793138897122951e-05","0.00019532087769445541","8.4118543639897025e-05","0","1.213684472200912e-05","0.00078120166861725209","4.4642859262736447e-06","5.9945801019588037e-05","0.00016348447373395024","0","0.00021526145763514301","6.6563304970280928e-05","0.00027995379429232266","0","0.00060719245987892508","0","0.0001019341293964275","0.00017883759005856787","0.00026522866212125247","0","0","0","0","0.00047694983246140802"
"21","0.00011423411438060757","1.0269712853454389e-05","0","0.0010973314077686832","4.833405900377674e-05","0.0008064027055002832","9.918506367002099e-05","0.00069614906374296898","0.00017746544705808906","0.00064769998275594884","0.0001937690178521669","0","0.00038815949390087962","4.600065060001228e-05","0","0.0005311280654664869","1.0048757888212044e-07","0","9.561599576348897e-05","0","1.9581836719483902e-05","0","0.00024050326382449565","0.00057463821127181096","0.00074973573443185384","2.9485358816479994e-05","2.0041063099127099e-05","3.8804059167774578e-05","0.00079628191752909245","0","0.00029701838915590593","0.00017126425966827093","0.0010636929268718564","0","0.00014426822119338129","6.4653369955334168e-05","0","2.1621023597086587e-08","9.4608713210614346e-05","3.6471763475742144e-05","1.5783251990686199e-05","3.4871786685277236e-05","0","0.00015356857353554922","0.0011082828748610327","0","0.0022983314992297199","4.8833354327007769e-05","0.0018841425328651904","1.3353289439565689e-07","5.70220642980866e-05","6.1698895136051062e-05","0.00016015247637948438","0.00032322327686665035","0","0.00014814180009089942","0.00021764817859888096","0.00024705621212907386","4.8030693311697223e-05","0","3.4131790586731506e-05","0","3.5815274841905482e-05","4.7041708800014131e-05","0.00049227597265081896","0.00012506045280001214","0.00012549879542138789","0.00021950368499670456","0.00016455366982776214","1.411978716327817e-05","3.6531109982503826e-06","0.00012748747044671348","0","0.00038986986056591225","0.000293184786377518","4.3190967509486466e-06","8.445775313017626e-05","0.00054650193163026297","0","0.00054219898228117667","0.00014414581555417303","0.00014777853308960257","0","0.0001355970384039787","0","6.8696121893077237e-05","0.00025701986536084807","0.00058701813284270832","0","0","0","0","0.00014513395174355997"
"22","8.5478475727607519e-05","0.00012204994542965164","0","0.0026528960362577534","0.0005635600894080612","0.0027706972979841074","0.00020873182175851635","0.0015063156585856012","0.001639238687813324","0.0016923626205022128","0.00048009804764435622","6.9612405691847328e-08","0.0010595298038287848","0.00032160650004409911","5.5628974264487638e-05","0.0014692099713318617","0.00011156783264287984","5.5764764398053476e-06","4.7619562094798054e-05","0","0.00025935333537609125","8.6285644146576208e-08","0.0006510708609580077","6.6535662350115861e-05","0.0024234183568411613","0.00040279445108176568","0.00018716240095699349","4.1103976358872687e-05","0.0019589825670668888","1.5563751089866284e-08","2.5416012141572973e-05","0.00098888947288742427","0.0018524144460145445","6.3958427956586306e-05","0.00017982562740225961","0.0012273191155487933","0","1.3828759539048889e-05","0.00018010481169588628","0.00039497021861371043","7.5089842267290742e-05","0.00024316719598742792","0","6.7293673110329323e-05","0.0012424228154483438","0","1.6070996730817176e-05","0.00030903785569259368","0.0033920854220649732","0","0.00014352365281005176","0.00012930288453567279","0","0.0009020906171325596","3.5948067917386276e-05","0.00074009775542372357","7.6551576408582871e-05","0.0029615506089464001","6.0960970400013951e-05","0","0.00059763793820958634","1.2095690127635486e-05","0.00023333405454117469","1.8403373139132267e-05","0.0008998541951162894","0.00055483994657808784","0.00016561751148039478","0.0015862042906109751","0.00082189212286235263","6.3525265833748107e-05","0.0002133733161834726","3.674859522798407e-05","0","0.00013976854180737237","0.0006440176169125036","9.7178116637305822e-05","7.234424552892759e-05","0.00013080049439488794","0","0.00032497743338762554","0.0001362112778729596","0.00093236289893341019","0","0.00020104613575791131","6.7317817876359258e-08","0.00017888875819687197","0.00044251959201831956","4.2829017985598057e-05","0","0","0","0","0.00026441486350059474"
"24","4.1193961522857764e-05","0.00017287813367002666","0","0.0036900640139632644","0.0002168438415599623","0.0010155689573685895","9.1765985386032102e-05","0.00092439209731010692","0.00045545343081063172","0.00095947180796351493","0.00034108859377226863","0","0.00068668334666697627","0.00035741283088602419","3.8363923417603401e-05","0.00075105333400999697","1.0497249028338521e-06","0","2.1173682218933054e-05","0","0.00013687479650212434","8.9994384871228121e-08","0.00028914390038736808","3.4100635618856927e-05","0.0014249288859346006","9.0430259053719638e-05","4.7732634545680658e-05","3.2187499832072875e-05","0.00040566734877241884","0","0.00024523220020531821","0.00023436715289195376","0.0019215746636771756","0.00023595258049090805","0.0001520666428928133","0.00038650848844962063","0","7.7294876312056541e-07","0.0001089583012276113","0.00013587336114062601","5.0810672752604144e-05","8.3370464446836089e-05","0","2.5532684117027309e-05","0.0008601745859658531","0","4.4941932771071309e-05","6.0033811943416187e-05","0.0026565073217027333","1.8791120921812683e-08","1.5769172931590015e-05","0.00011966077777103848","6.6215761368079354e-08","0.00017394104262980091","0","0.00040830547638537334","0.00018130741169639246","0.00020688564632883919","4.7053214852309106e-05","0","0.00034302893047982795","0","4.8319881931717573e-05","5.4813346640405018e-05","0.00071903468673506011","0.00035535481514646628","9.2496561955359379e-05","0.0011694077884809976","0.00030322727863913188","1.5287481563587029e-05","7.5484598404397903e-05","7.7276862673230875e-05","0","6.1534222362735088e-05","0.0004838528556634476","6.6537237339119029e-06","4.8323385211300728e-05","0.00021714200003862251","0","0.00053045580666351831","0.00015443576276846397","0.0036289257303238867","0","0.00025655961658736402","0","0.00034938596525216375","0.00015605526607733917","0.00011979700998832131","0","0","0","1.4457391541338737e-08","0.00012284862234882005"
