"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"0","0.0067773639767363027","0.0070461240783465775","0","0.021295515051178958","0.0077642256284043984","0.01557339341012615","0.000120756959223876","0.014151885089662636","0.010408311992213825","0.013822564710461597","0.00014203273147673159","6.3885099111735084e-05","0.011444038804788847","0.00012843206209139953","1.9456636207401392e-05","0.018946041320956116","8.0466093140407786e-06","1.8748157713624233e-06","2.8737222982510216e-05","0","0.0078829992929047143","5.9943101252299251e-06","5.3177862260639824e-05","2.3442638943397824e-05","0.01466967064248785","0.00037340392496863767","0.0087211233387101683","1.0563191125828777e-05","0.025846500966892522","6.6976672534258254e-05","0.00077701482642110931","0.019758178054014221","0.013642045589782851","9.3804359313428036e-06","0.00021686707098482754","0.020038648033830781","0","2.5464213450150121e-06","0.010586521633689162","0.0007017221910552517","8.5335749066575307e-06","0.0062682905897466293","0","4.0183721481620193e-05","0.023051821413672652","0","3.8324878982106577e-05","0.00018264175680336611","0.016342089613989457","1.1601798474068655e-06","5.1646471670702502e-05","0.0088204650387513454","1.1601798473989991e-06","0.018759313821695558","9.839901652812894e-05","0.016207542371989594","0.00028797640914030552","0.01655087053004967","4.1470073521295844e-05","0","0.009575094473698028","9.7282286474197657e-05","1.4080410008956214e-05","0.0069435815947781823","0.01462874825403296","0.00011018889058830594","0.0064347383645581846","0.015805590768990404","0.00060757169354561146","5.6878329865286012e-05","2.4582109714125967e-05","2.9933337425105428e-05","0","0.00010396190248075829","0.012575776304878387","6.6946098124039146e-05","4.3246584926521206e-05","0.00010675566173242141","0","6.1896333172901816e-05","0.0069972947191233687","0.00019715677399437338","0.0041360741233450477","0.013421541844260792","1.1601798473371559e-06","0.0090065632166633509","0.010311813225226268","4.7829572563864192e-05","0","4.3481020874870452e-06","1.2320049624247129e-06","1.1601798473318243e-06","0.010595818257321416"
"1","0.00011953105064278959","3.159721494148234e-05","0","0.0002722069603185656","0.000123047247587671","0.00072992627800588436","0.00026868981893395137","0.00041474048545318652","6.9318418149445722e-05","0.0002585340941880348","3.7723536424707596e-05","3.1037964201774364e-06","0.00030337801706111373","0.00032285378856812481","2.1765811834320233e-06","0.00068733805667108212","1.3945912129413857e-05","3.1861652665921316e-06","2.4237537097551013e-05","0","1.4176951484249391e-05","5.7423423544424724e-06","4.6656118369439645e-05","6.6648924754642658e-06","0.00083306690273031165","0.00014288274411484864","9.2093696233894878e-05","2.933681515798574e-05","0.00038119214856048198","1.3876286641804113e-05","1.1538552838630842e-05","0.0002632640035040951","0.00056168647157514703","2.1416202285778107e-05","9.6269069914012658e-05","0.00015239286275379768","0","3.1137962407721828e-06","5.2897183731029196e-05","7.7075707204435993e-05","2.4558649905966291e-05","1.8399066749592755e-05","0","4.0129665723783311e-05","0.00058608117606545119","0","1.5986843496092034e-06","4.3087934007162318e-05","0.0015012535874926913","1.5986843489128108e-06","2.9679295292471016e-05","7.8164567399768804e-05","1.5987063797057318e-06","0.0001574430129828363","4.4117538541040812e-06","0.00019597502864581205","4.6348912848344817e-05","0.00030546534328425811","0.00014981337778862698","0","4.0836060997681475e-05","2.1472324437589297e-06","3.6294452744707428e-05","1.1582123672706069e-05","0.00025558772948323162","0.0002500692183665113","3.8499100136553297e-05","0.00029933040660254552","0.00032222540861826036","3.2496149507140319e-05","1.7790483692739935e-05","3.7064508293770819e-05","0","1.5066889638929344e-05","0.00035861985457076752","8.3674720044954656e-06","1.3187972016737866e-05","0.00013389073767946648","0","0.00011691539121399997","2.327894260401069e-05","0.00019234755983006709","1.7990155610969125e-06","3.7862438596910565e-05","1.5986843488205077e-06","5.1433834816249556e-05","0.00014123856189549754","2.9368040975846913e-05","0","1.5986843491712185e-06","3.1222693438797056e-06","1.5986843488101479e-06","2.0556930852076136e-05"
"2","9.6757405699122126e-06","5.9796282074272966e-06","0","0.00060239372476621699","4.1072317848679359e-05","0.00059920126588674572","0.00026724734715377385","0.00046491479668140523","4.3947717242966176e-05","0.00050077405214578785","0.0001233699442322295","2.748601979047715e-06","0.00015052044376836311","2.534596419456429e-05","1.8626533922896379e-06","0.00041210950023422868","3.3334020256876071e-06","3.4752415298275584e-06","3.7838400558279361e-05","0","1.0910226563384114e-05","1.0943521870349769e-05","8.1627309161490065e-05","1.0323487581693258e-05","0.002767852181630108","0.0010222353972452252","5.6670742578847687e-05","7.6002247876138338e-05","0.00057869845002335603","1.9970114977970724e-05","2.3335095588639071e-05","8.6734439231051541e-05","0.00060209665263795951","5.1078384156656279e-06","3.6655493443731514e-05","6.6270376267535711e-05","0","5.1748590614934897e-06","2.5722197625560521e-05","8.2481025905930408e-05","1.8329389503869862e-05","4.6246663687074053e-05","0","1.6981236562585644e-05","0.00038666642094159265","0","1.8329125301353057e-05","0.00014896600488174873","0.0019823383387858697","1.5070817384696994e-06","6.6452892204152875e-06","8.3769792169373627e-05","1.5070817384531603e-06","0.00010797576704923689","1.2897926963617993e-05","0.00019510379301927253","4.3671236477161721e-05","0.00023808384790458006","4.1625039667433897e-05","0","7.1011701038841698e-05","1.4843167095484722e-05","2.4978062570686073e-05","5.7886438972528582e-06","0.00017077311299972561","0.00022359166601792842","2.4548674697097958e-05","0.00017274834020566965","0.00056602636431611153","2.9371748264767802e-05","8.3320482312266831e-06","5.5251432328153342e-05","0","0.00029904346284029103","9.0965272282630884e-05","1.3843119842579707e-05","9.7455303886276021e-06","6.3947905311805993e-05","0","8.863044854674987e-05","2.6326861822385525e-05","0.00023280810610620261","1.5269451694471284e-06","0.00010359383903170961","2.5088693061147925e-06","1.2209015932294737e-05","5.7305847828771552e-05","0.00011810642964228752","0","1.5423534649358533e-06","1.5070817384231202e-06","1.5070817383703971e-06","8.0211343579958187e-06"
"3","4.3804408944286003e-05","1.3635830270413716e-05","0","0.00062591238890825169","8.1258695683725579e-05","0.00057963147983247209","9.8106505382216042e-05","0.00063372119300319802","0.00022111555884067279","0.00089904551433894211","0.00035762201843342122","2.8208965021502977e-06","0.0057457051365975616","0.00016595068552641539","3.9536935255360017e-06","0.00048992900346071289","2.3595871889104365e-05","4.9269848291891758e-06","6.2530675791971007e-05","0","1.1027998721307033e-05","3.1156500949985359e-06","5.6111228162302818e-05","2.5985850644019249e-05","0.0010793229316498026","0.0006236070490864597","6.5203364747120696e-05","4.1599473927412064e-05","0.00042462739636948916","1.8292484148385381e-06","6.5080148939596706e-05","0.00022926323272182597","0.0074429608983700339","1.684650457853053e-05","5.7122349507088885e-05","0.00014510140166842621","0","1.2799679573544108e-05","3.4158777241269813e-05","8.9409155692695387e-05","1.1808142463044421e-05","4.1878260329193797e-05","0","2.3376825851925939e-05","0.00070743828148942857","0","5.0156754575508013e-05","7.7525710701717706e-05","0.00040713362343730857","3.6494532643955282e-06","0.00015329101547403046","6.494147412617868e-05","9.1621126064354619e-07","0.00015189789564393503","2.1699212805710638e-05","0.00025299193573151174","4.1899638843530397e-05","0.00052859542834614716","1.4534149102618798e-05","0","8.9706956473099112e-05","1.9752784728372262e-05","1.2176113281551011e-05","4.7572200331028553e-06","0.00023638731458605801","8.1858476425610322e-05","1.3707846194298039e-05","0.00016525959025368386","0.0003035775947245318","4.2374639245123867e-05","2.6509449376066787e-05","3.3212091780504935e-05","0","2.7055463898566334e-05","0.00014606448729397072","0.0001050890563055286","5.4537577912487325e-05","7.5114791134161775e-05","0","0.00022130712330894616","2.1418249211033388e-05","0.00017687076150408893","9.1621126061889086e-07","5.5237456192039148e-05","1.4990712660973073e-06","3.4746933361979226e-05","0.00017567715704560594","9.3574895515224945e-05","0","1.0872925155249326e-06","9.1999105052351519e-07","1.3559077546540464e-06","1.6617831189105574e-05"
"4","3.1751803693412197e-05","9.8947399492050602e-06","0","0.0010039778604604621","0.00020311016925998943","0.0013876107152553522","0.00081557597056847197","0.0014622013860738558","0.00015151875424910001","0.0015303700356786183","2.3504869735519235e-05","1.7440536785664148e-06","0.00023823344860065138","0.00011583974319696404","5.1075967412930429e-06","0.0010115266652655458","1.6998091753597062e-05","5.4167976565524081e-06","0.00033414628716387223","0","1.1448992459529934e-05","2.444021587376581e-06","7.1858937799235161e-05","2.9599372435045982e-06","0.0012581619439190909","0.011767130875262693","7.5298750984859094e-05","2.9917306129045251e-05","0.0029004091313745697","5.564214050858013e-06","6.2474939480248207e-05","0.00047448028575818453","0.0011325088201530058","3.7839188766506604e-06","0.00013287933885093621","0.00029503234219215192","0","9.9150446540710164e-06","3.3581572776433382e-05","0.000489018327548364","4.1950116331165529e-05","3.3103387525300903e-05","0","0.00020354223718221885","0.001261108194797756","0","2.661195615941956e-06","0.00089187755473095346","0.0054552383174439481","1.4262244760407707e-06","0.00021311657073702213","0.00010823545136130637","3.4420792578018726e-06","0.00033922774252626291","0.0001077046511416428","0.0011622812229448328","0.00021040670282358105","0.00057015827355552694","6.3657590743916923e-05","0","4.5204394531626386e-05","5.5547791210835349e-05","0.00019337754386895159","6.3996044101802039e-06","0.00036936008112614595","0.00029345226921442667","4.0099980818628318e-05","0.00071117462323293809","0.0038796495054155772","3.492061919085872e-05","9.0857999550274758e-05","4.8151690480821852e-05","0","1.595383791144564e-05","0.00013569667091574094","6.7511177837400497e-05","7.0906075069131401e-05","0.00042513837773563979","0","0.00018789937212313273","6.4398549419139256e-05","0.00058507361705211511","7.413987217769591e-07","0.0001008596783469666","7.6687686744433904e-07","6.8501211321085156e-05","0.0003111843966115433","3.5327787655103659e-05","0","7.4139872185678306e-07","8.7368608306349339e-07","7.4139872177663247e-07","2.0942319391599289e-05"
"5","1.3105667532722973e-05","4.8661634946972199e-06","0","5.5118966953538828e-05","1.8987405304373498e-05","0.00018665224975930264","1.7593460271754987e-05","8.1414141251264933e-05","1.6894348170747005e-05","6.9429092785993436e-05","1.3904996622196643e-05","3.1975585849940561e-06","8.1292509861201145e-05","2.3636563515829565e-05","2.9027953616188503e-06","7.9883310353233734e-05","4.3538230055376127e-06","3.7464622785051558e-06","8.1010053811953139e-06","0","8.7171967138281047e-06","3.7407143359292062e-06","1.1286390768908825e-05","4.2442900744406828e-06","0.00021444350765868975","1.0878859729661433e-05","1.0694683608073473e-05","6.1811144790821458e-06","6.9173913240492353e-05","3.5248350295906052e-06","6.4683683785401521e-06","2.5838452535289239e-05","7.6970796512029256e-05","3.7784799663758474e-06","0.00013516786009928127","3.225546728010563e-05","0","3.3457837691685431e-06","1.1829158994672051e-05","2.9239077538199347e-05","6.8423391439827936e-06","7.0270528091752336e-06","0","4.4674727024507692e-06","8.5642602247606241e-05","0","9.4481268157681799e-06","9.2901324812225467e-06","0.00012695015176918142","9.2340786104075664e-06","3.3534984745836717e-06","1.5238540056931581e-05","2.9027953612597329e-06","2.4160138689177837e-05","3.8305997671889806e-06","2.2954549348549422e-05","1.0276915584272494e-05","4.7085285325433636e-05","1.0045248721344118e-05","0","1.0628300576559946e-05","4.5506527644722993e-06","6.4992240497997133e-06","7.0957505545452629e-06","6.5101247085777022e-05","1.9086249131106132e-05","2.2833106844585401e-05","2.9879370151000921e-05","8.2605113528015872e-05","1.6802918816935418e-05","1.0887729512283168e-05","1.4047555175048284e-05","0","1.0889432957857002e-05","1.6905522637527008e-05","6.8258163006764661e-06","1.1524419201771342e-05","3.517730485476872e-05","0","2.3636845165570408e-05","8.6437310734659557e-06","6.1847255226692082e-05","3.0165475194886693e-06","4.2706791696677516e-05","2.9027953609138e-06","1.012169825071934e-05","2.7355252917276066e-05","1.9937457343553083e-05","0","2.9027953621544817e-06","2.9027953611182051e-06","2.9027953609207202e-06","5.1588402695371941e-06"
"6","2.656432702149303e-05","6.6380193530595735e-06","0","0.00050842484608249925","6.0540445479039209e-05","0.00049348976703534957","0.00015962797757760946","0.00033187979034037505","3.3215911550901222e-05","0.0001518379447666246","1.6975116242359569e-05","2.256430790012773e-06","0.00020638080488541934","5.6776314418164925e-05","2.8340188749541618e-06","0.00020305740241698101","4.2149142007382112e-06","2.6856797348314644e-06","3.5409389560302859e-05","0","8.7727594630628949e-06","2.5778740900056236e-06","3.5533094774219519e-05","3.7208585890570141e-06","0.00036259400679473686","0.00055644200705064889","5.7224362911829318e-05","2.3021979325650738e-05","0.00029842375022983482","3.7093852322169621e-05","3.0954927966312436e-05","0.00019194211628020775","0.00022553636890428589","4.3927879651996643e-06","1.3167419444117454e-05","0.00010725715239099734","0","3.0404695408517916e-06","3.0214372566796572e-05","0.00016926641045693176","9.0184535490737445e-06","1.6287836061966798e-05","0","6.4448376099921696e-06","0.00052907952670292011","0","1.7141811331212986e-06","0.00017272352533428099","0.00047211739701956618","6.9777584081712847e-06","5.0734534914488178e-05","4.4417966978702797e-05","1.4326426475636285e-06","8.4972873980087072e-05","2.7125558282784347e-05","0.00023548805616781072","9.9723124554753454e-05","0.00016806265920742797","9.7455537777903824e-06","0","2.0117570368024408e-05","3.9294505096474811e-05","1.7628471099942044e-05","1.0506700628206082e-05","0.00010629579721597027","6.3066607800138014e-05","2.4253128672224151e-05","0.00017384215229929766","0.000174283789733973","3.6864889041731738e-05","1.5862523229277879e-05","3.1098702263464082e-05","0","4.8267977385357697e-06","8.3456490873719353e-05","5.2677169703492392e-06","3.0546568824682318e-05","9.9802041087881433e-05","0","7.9404517346879882e-05","2.2211243702325472e-05","0.00019630475118507731","1.432642647482602e-06","4.3077221503836351e-05","1.5101812313589064e-06","0.00010203283843325536","5.0519602806902846e-05","3.5653801972285359e-05","0","4.0352100656236842e-06","1.4326426475279339e-06","1.4326426474847727e-06","7.6616608999450884e-06"
"7","1.9271768711381258e-05","2.2157621459570702e-05","0","0.00024859249069236218","4.6741355146256911e-05","0.0006968104543408467","0.00013337903861067278","0.00040932322319910922","2.5520734170196855e-05","0.00040585413061498289","1.5847819779073522e-05","8.7043288590177441e-06","0.00017018799115105527","4.1818661086688137e-05","2.1526756728338955e-06","0.00028279934909336687","1.2499518008629403e-05","2.6202488319023473e-06","1.8665909511726995e-05","0","1.1349003651892502e-05","2.1880099965339851e-06","0.00014944161588078807","3.4998160541006493e-05","0.00097112722966152191","0.00055695793424406521","3.2069074640103025e-05","1.9950311606462564e-05","0.00034500056851570287","1.053679814141581e-05","1.1755668807495339e-05","0.00010667960887392246","0.00039764084733229216","8.0143756368210714e-06","2.3325296166741188e-05","6.2953984265077311e-05","0","4.8930021113966691e-06","1.7120940093599316e-05","2.8378581818939312e-05","1.6673368608086878e-05","1.296507067597959e-05","0","3.1120346444977199e-05","0.00080863807589027462","0","3.1960685581102636e-06","2.7831569242999741e-05","0.00041128431960350402","1.9774387938262191e-06","1.8658458181470242e-05","7.4446538329176726e-05","2.2235544078599012e-06","7.747995222270056e-05","4.8468112284670163e-06","0.00016876864096989301","0.00015712448473259287","0.00016472378874358629","1.3390028407965466e-05","0","3.8964926258435757e-05","1.1557124905798511e-05","2.0734911712203751e-05","2.8618286446681834e-05","9.0571916589892552e-05","9.7263590335030609e-05","4.1557822733261424e-05","0.00013748537512519514","0.00015951723821424152","1.9539084920311889e-05","3.9049486739360783e-05","4.456142523125303e-05","0","1.96325128719979e-05","7.0497348917748724e-05","2.5741929813230316e-05","2.9979540838901938e-05","0.00011666496891868778","0","4.0384463839670454e-05","3.2878128944184864e-05","0.00018713633877423942","2.0496622748760936e-06","4.7356286243582838e-05","1.8809858491736543e-06","2.8834375719207599e-05","0.00011115829857618946","2.9771464362052235e-05","0","1.8809858496758051e-06","1.9994965865459405e-06","1.8809858491588857e-06","1.1729522844044051e-05"
"8","1.9265853166277253e-05","7.3278219867396032e-06","0","0.00029165204160632108","1.5645684275273498e-05","0.00026698251612922521","4.0361512783187489e-05","0.00017599558763197617","4.7731263911324564e-05","0.000278765984732731","0.00020616131188982317","6.2481710381092968e-06","8.6724150616858197e-05","3.0593289074985151e-05","2.5073513151592431e-06","0.00022007414950144685","2.7540689466855689e-05","2.9305420374665289e-06","3.4382292575853089e-05","0","7.4573455808372839e-06","3.0760460960589664e-06","2.0262756148594283e-05","7.4525452642101769e-06","0.00041332181058733312","2.1569877729111177e-05","1.2268102106032454e-05","0.00020360289561406728","7.8101300328688842e-05","2.5346840303098446e-06","2.7512426800314542e-05","5.0320123379188044e-05","0.00024733322641717551","5.2505200503005837e-06","0.00013121884076454225","5.0714900787487681e-05","0","4.7295250962778511e-06","1.9347240180934999e-05","2.6954865386873509e-05","1.1912708436401214e-05","1.1279853158645846e-05","0","2.6937592180085323e-05","0.00028698651080153934","0","0.00014968815873257359","2.5108680721702572e-05","0.00018381412916012205","2.8868024693856905e-06","2.0696395522064197e-05","3.1118055828195144e-05","2.3664196638647598e-06","0.00012282891787895065","2.96055644977466e-05","8.4941768411995951e-05","7.2357353680990147e-05","6.3541967999702442e-05","2.1831021640085609e-05","0","3.3563274521295782e-05","3.1623275735854266e-06","6.9731541212791765e-06","8.5853627639027606e-06","9.6278787100928734e-05","7.6383946095832445e-05","1.2269418619680977e-05","8.1162162339229509e-05","0.00013409008535473311","2.305016180741361e-05","1.6521593010979616e-05","2.8295295000704345e-05","0","1.3560975460321955e-05","6.4387077436550884e-05","2.1495508974589129e-05","7.1635591016065936e-05","5.8443868754697828e-05","0","0.0001666513256398179","1.9079182300496532e-05","0.00017500919396279139","3.1395140537004164e-06","4.9153278109386162e-05","2.3664196636507629e-06","1.6398346473287741e-05","0.00020372671492121397","3.0636836213336405e-05","0","2.8717426916804456e-06","2.3664196637916296e-06","4.037131794968997e-06","7.3697390873678299e-06"
"9","2.0309228334769693e-05","9.8522110703881334e-06","0","9.9591083514024895e-05","2.8355441839161685e-05","0.00012205072734462597","1.6909848708181021e-05","0.0001482109620928991","1.2069483350382962e-05","8.2860146532010758e-05","2.0160974751522821e-05","3.1156430819867034e-06","5.0175693127871593e-05","2.9663806303954516e-05","5.5946706854608709e-06","0.00010876795036676421","5.2249425432189974e-06","6.4068815346201473e-06","9.3410612355248626e-06","0","1.9224339140446023e-05","5.732806221484109e-06","5.6224883914403377e-05","4.5830188303102582e-05","0.00035721131654681493","1.5658382957392832e-05","9.4418294699726132e-06","2.9224081999481637e-05","2.6458733660276316e-05","3.1764763596608076e-06","4.9603780549300466e-06","0.00010212029546103025","0.00025766483670653165","5.2818915575307042e-06","1.7750671913960483e-05","0.00010184576347504355","0","3.6927964094777063e-06","2.9353518290163102e-05","4.1377946906793495e-05","7.8195373744038802e-06","1.2377088350200772e-05","0","1.0212693579629283e-05","0.00027314607909152016","0","0.00025096352800017764","3.3728471187797445e-05","0.00021901944891649427","4.6956395476836894e-06","6.3898057132868774e-06","1.0607798339022625e-05","2.6129760072926801e-06","8.278521058073029e-05","7.9857951630444897e-06","0.0001654875458049165","0.00080117659192867991","2.9947820167819469e-05","1.0289856632156886e-05","0","9.8471067514129639e-06","8.5967002267657381e-06","4.7128210910142695e-06","1.0967109117301893e-05","2.7126819302628363e-05","1.5374775566594764e-05","1.6937905367565095e-05","5.0152505200087985e-05","0.00011014834609053902","9.1633495983920057e-06","3.5658957824692847e-05","8.9566004501406808e-06","0","1.4502543092278808e-05","3.4154658979168886e-05","1.3950540433154596e-05","9.2944202031429021e-06","4.6349272819388147e-05","0","2.7777896666612842e-05","2.6306893931269731e-05","0.00022336969544465486","2.6129760069328418e-06","4.0769867750800735e-05","2.6129760069478203e-06","1.3605254178061766e-05","6.7173714496833608e-05","1.8680176809865262e-05","0","2.6129760081835012e-06","2.6129760071505738e-06","2.6129760069661268e-06","1.3534132752282191e-05"
