"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"0","9.2518252120003881e-05","5.43974994492691e-05","0","0.001931366751055034","0.00032068909635981822","0.0028241153642138495","0.00045907384292372274","0.0017836286298935681","0.00091304295546130272","0.0014211526143034837","0.00015341094337272939","3.5585356676480998e-06","0.00076897448068709718","0.00024855849822301749","2.4860904512710119e-05","0.0018014467276449711","8.3558040276314932e-05","1.0141285800830905e-05","0.00014332794845275007","0","4.7916474906200391e-05","9.7265070454264311e-06","0.00075659366336506173","5.3879332625041169e-05","0.0031349692441615187","0.0017846532254222065","0.0001886133053626969","5.0932246023553004e-05","0.0043180618857395683","1.5637146029548384e-07","0.00024036815840797538","0.0009604902601030445","0.0013135461459096646","9.268334329372539e-05","0.00013841356327078659","0.0012926653102834445","0","1.2001506822905725e-05","0.00021024827617951194","0.00010663548643926739","1.8889922714183375e-05","0.00013716701514306627","0","0.00010541642272708499","0.00098493448970252834","0","2.7087067380434792e-05","0.00054345596465668253","0.0040140292648640661","4.2479807962792568e-08","4.3502704713308478e-05","0.00019733651004524285","1.2092824388681503e-07","0.0018753465902952887","5.6193662416296344e-05","0.0010978780175707758","0.00027532981583716859","0.0016653238704061257","3.1099805180960766e-05","0","0.0002110732768152025","5.333684036388736e-06","0.00041816071178703165","7.4579033436613238e-05","0.00085306540128998786","0.00023709431957122582","0.00010764652952986401","0.00074882760748956893","0.0022874897536666202","9.6847395246422007e-05","9.4454388239588591e-05","6.1299864499329745e-05","0","0.000145681661795392","0.00028423098779567643","2.1133799087450973e-05","3.9553583994504562e-05","0.00023136294809691054","0","0.00024663769855371662","0.00020006881299182349","0.00090212779778880796","0","0.00039183625887632685","0","0.00015787263634693335","0.0007006434422612228","9.8997257813466459e-05","0","0","3.5170265847056497e-08","0","0.00020700487570308256"
"1","0.00011596991478658645","7.881767128972376e-05","0","0.0030685634476898477","0.00031864135186197216","0.001851123272381232","0.00042866347427478522","0.0010838699904318141","0.00029774851134978583","0.0016172573442669884","0.00016366224530238858","7.2547971359825543e-07","0.0016082336384335412","0.00022503311677765639","7.3564182998786527e-06","0.0017278282207445568","6.6931880936218599e-05","1.4320335276911123e-05","4.9184208526956494e-05","0","0.00032112760662561919","6.9489484264295497e-06","0.00075294223756903924","5.2643825385396129e-05","0.0015753405683198623","0.0012243599111646847","0.00011821968524031954","0.00020995283559425233","0.0021003702748197987","7.6191956690622172e-06","0.00013456244893086884","0.00099149235677598881","0.0023697460573132005","6.6882103162497019e-05","0.00023409390220550437","0.00049002753259840828","0","4.0028906858643067e-05","0.00021441396975249082","0.0010706988390975175","3.5399315128895341e-05","0.00010178646438640879","0","9.3092954814081311e-05","0.0023065773046320156","0","6.658212214488044e-05","0.00024178834074415229","0.0023412149135097629","5.093398336047272e-08","0.00010149408143347571","0.00049578505773394338","0","0.0011148450629516803","6.6460035240220434e-05","0.0013389866757358938","0.00036691355921850778","0.00057905722404432401","4.4348613139416676e-05","0","0.00024260447874205956","5.4933998858920277e-07","2.6336221554338294e-05","0.00027027033346743403","0.0010056080013015809","0.00019333340801219213","0.00012338635217436851","0.0006957798145380852","0.00099055590454730615","0.00012594804040641784","7.8838613241751873e-05","6.3543264280026246e-05","0","0.00012829272748569575","0.00054474205771798618","4.8485051813929328e-05","5.3112531377806701e-05","0.00034551568456433167","0","0.00084620033361637191","0.00024637066060475584","0.0015166591756355281","0","0.00093843239085132559","0","0.00017167468590995971","0.0004274566084960907","0.00013557606917854266","0","0","0","0","0.00031717780471705425"
"2","0.00011132092412278871","6.4487605839602154e-05","0","0.001027582922363327","0.00013446278443672767","0.0011213454946436077","6.4657435670207905e-05","0.000429908364164126","0.00022174416369584096","0.0011033929175962151","0.00024468207605977764","3.972333851689879e-05","0.00048701371938370978","8.1623729474940252e-05","1.0084093365117738e-05","0.0005225582918321702","4.8217536418848423e-05","5.3344125363237989e-05","7.6712992477935549e-05","0","0.00016654365996627351","3.75649358677102e-05","0.0016526238826245665","0.00065112249354367128","0.0010860688943715995","0.00029269508366207595","8.3768044600023857e-05","0.00018109915436385196","0.00044548124085746956","0","2.0704820270487608e-05","0.0006937161449038356","0.0014567273911381079","4.783214055641875e-05","0.00013472475857646189","0.00027980896543522497","0","2.7935292305252617e-05","0.00014376478295234499","7.4716843710853617e-05","2.7155394044659817e-05","0.000136803025711249","0","5.3420261258758991e-05","0.0023576850027967975","0","2.9225916862622177e-05","9.1415411708424885e-05","0.00046648998442940756","1.3409572036257457e-08","4.9492124467175471e-05","0.00010233169931238881","0","0.00065401978367205839","2.7390390055939665e-07","0.00029267205341435129","0.00019030987275854552","0.00043361703332982574","3.8010889674878897e-05","0","0.00016799334115026124","1.5635745644712538e-06","2.1740488813923632e-05","3.3175067064333755e-05","0.00030693554032272524","8.329693463218066e-05","0.0001099757372739632","0.00018181400441948629","0.00047956573955654962","9.7645432436543132e-06","6.3032800103818122e-05","5.90722976807201e-05","0","0.00032268777855567484","0.00018493004272812473","1.4660576853154164e-05","2.4647663645509376e-05","0.00046951751951980844","0","0.00049707369306174439","4.500267119016287e-05","0.00022882645294473579","0","0.0005377639455804551","0","0.00010529863515932171","0.00022872623259111716","0.00024543771787578805","0","0","5.5440571423175297e-08","0","0.00014903337016725372"
"3","9.7548632368908928e-05","6.5444298634545849e-05","0","0.0012244622858969595","0.00014245632493542574","0.00048204342152904364","9.2849660648034005e-05","0.00075726263811388115","0.00022926285202462822","0.0011108661120115475","0.00018218487741716543","1.0939947266573603e-05","0.00044434705479286826","0.00011304967345304957","9.3077169633935523e-06","0.00073232130724091985","4.2386899924702497e-05","5.6865839544148175e-05","2.4376389208329938e-05","0","3.2681745216638094e-05","1.525373316078575e-05","0.0014799856325105588","0.00052358660186612566","0.0018369325112871848","0.00010110761493499944","8.9456017289381615e-05","8.3099143265816174e-05","0.00097666031042108821","2.3186269652197982e-05","3.5589166219710421e-05","0.00039819067259171744","0.00053115623269420155","3.118625653747713e-05","8.9480040214241974e-05","0.00077870160807520566","0","2.4579862475497765e-05","0.00022154988171285849","8.2990089571033428e-05","2.0068712058168191e-05","6.9837104921374529e-05","0","8.2313217465189312e-05","0.0012632198879320171","0","1.5061011837619362e-05","8.6089265751624112e-05","0.0014229023069258625","0","6.3087330956222294e-05","8.7861161531718697e-05","1.3347224713361513e-05","0.00059038544701664117","0","0.00026676346878365848","0.00012452843021061632","0.00069676467743412691","8.2616460804527196e-05","0","0.00010009261311592494","4.161015628690187e-06","2.3647279155728975e-05","3.1838251641444331e-05","0.00061578408972849392","0.00015824309339536324","9.9251838999365834e-05","0.0004609974076790492","0.00022181569067869673","1.5284327112593019e-05","3.9815204585865695e-05","4.6016344864497285e-05","0","0.00023767735037495203","0.0002693205566631447","2.3799011095198555e-05","4.8600838530958992e-05","0.00037168326341773851","0","0.00027662551592950026","7.9827608577431715e-05","0.00016954221355413584","0","0.0002530900357787532","0","0.0001236739205845158","0.00030268074052859146","0.00010841616626193587","0","0","0","0","0.00017098937876262402"
"4","8.4458034916319385e-05","6.1282066322314245e-05","0","0.0012185692592447163","0.0001997795730978675","0.0014308185950825717","0.00022858520025102985","0.0019408262974684887","0.00025513947906943726","0.0011316932127316244","0.00038811416283805262","6.7025685085639314e-06","0.00082173779275509097","9.7536545418890305e-05","5.1908967573853313e-05","0.0014409872629806391","7.4982284367354745e-05","1.0137197230791867e-05","9.0687619848071776e-05","0","0.00010855168994965243","2.0304991745464666e-05","0.00050544460500395651","0.0001239507351341225","0.002331676101419215","0.0014444520375294057","0.00018083888947150234","0.00017616713702966734","0.0024148868377450476","0","5.6063085492436699e-05","0.00080299904910874527","0.0011945133746550992","4.5674797526855913e-05","0.00016476513153708492","0.0016336863437157404","0","4.4371598765111371e-05","0.00026470882731361605","0.00016418387011986059","2.7851846508406877e-05","9.3338483813132318e-05","0","0.00022488305242527107","0.0014648641759713629","0","1.849187327886156e-05","0.00018485374841744731","0.0028500492392162834","6.7239961570900328e-08","0.0001376553333414272","0.00020175017062317032","0","0.00073767081697919757","3.2207392401857678e-06","0.0021820800722818163","0.00051693457150335943","0.00066967796000873931","4.2939921087031981e-05","0","0.00019652433154224483","1.149684297087491e-05","5.3616396382077304e-05","0.00011804186924644688","0.00052309473980986624","0.00014258735789954055","0.00010909018380381569","0.0011901313466574656","0.00086086149237314831","3.0852767287088611e-05","0.00010455416188045014","3.5730698181149266e-05","0","5.8051976101873486e-05","0.00032020822937081807","4.6508048138294704e-05","5.5301838423414061e-05","0.00018042067597092196","0","0.00029466276385855215","9.3370732708205749e-05","0.00049162581997225653","0","0.00042267023133378133","0","0.00037834896236934635","0.00076529432965950024","7.3182849153630825e-05","0","0","0","0","0.00024671043533599569"
"5","0.00010472972493107403","9.37883904596132e-05","0","0.0013106736224684004","0.00015355829670634155","0.00087850903769731681","8.401375150684846e-05","0.00061470468255628557","0.00026484779129893086","0.001175773872664924","0.0003834884329353123","0.00015814374952504353","0.0006794498830039622","8.2459015637213019e-05","1.0910117342475598e-05","0.00056476235647667122","6.4078125102637863e-05","0.00010530938242162996","6.784258966378219e-05","0","0.00015308613507829185","4.0693655002616346e-05","0.00057306554960185447","0.00012642725679731044","0.0018572521729167048","0.00042248958476537475","8.5362136056735513e-05","0.00017308064167106973","0.00058624046862821796","0","3.1152776200526551e-05","0.00058531005519689189","0.00075850759778628072","5.3641912652805045e-05","0.00014047670304704175","0.00048061720002164727","0","4.7169885682219734e-06","0.00014493644684838804","3.9149182186555061e-05","1.7040555600141303e-05","6.9449942051194545e-05","0","5.5366184791087818e-05","0.00063318449683407785","0","9.4297322035639517e-06","8.2296601339159998e-05","0.00047179846019927316","0","2.7689725312450754e-05","0.00010855181584219316","0","0.00041875202225768099","8.7889168213716668e-07","0.00057782835723013009","0.0001033718670324574","0.0010386620315194889","6.6655238958201782e-05","0","0.00020341915960921092","0","4.758269845473479e-05","3.5588062290082921e-05","0.00042752614096079779","0.0001395684329697639","0.0001409287997867117","0.00040029989406803365","0.00031055048293952202","1.6521738860436111e-05","4.16515829957227e-05","8.6460122504501872e-05","0","0.00014629417579958568","0.00010404873251064247","2.4724587659730911e-05","2.566306367385449e-05","0.00037254118543020721","0","0.00023918440306231281","5.8326315448842263e-05","0.00033304127406959868","0","0.00038051987797474538","0","0.00025033606677174914","0.00029815747489315346","9.0676831892583042e-05","0","1.4047421453186633e-08","1.8406146741542402e-08","0","0.00014652859969575591"
"6","9.5125036912420367e-05","7.3889002668364522e-05","0","0.00095943468521405911","0.00014710841585359035","0.00084695706530213475","7.6905986791964842e-05","0.00036195979849446789","0.00023171435737736476","0.001187831176233689","0.00032437981792336176","4.9839721576189711e-05","0.0006557229761799449","5.8295281720742448e-05","8.4408102538330293e-06","0.00027372529254010043","0.00011228867390522575","3.6169228443215542e-05","3.454178650227089e-05","0","9.6283662541551108e-05","1.8027204172557264e-05","0.0022348474037492475","0.00082385436274725579","0.0018883491773306177","0.000198558624554711","7.6284602379522704e-05","0.0001289418252968362","0.00042967387157698874","4.1120733837131752e-06","2.5999688888397759e-05","0.00041845755281199237","0.00078970853512091445","5.7486188778234315e-05","0.000104964222327847","0.00021810920945345875","0","3.927190121674668e-05","0.00015980534744312059","5.1797894895899821e-05","1.602008326020396e-05","9.1461953488171526e-05","0","1.6501889288485529e-05","0.00098020765630915901","0","1.6454778095716888e-05","0.00011003602828018119","0.00081746602466562272","0","2.612361401019643e-05","7.749121347777568e-05","0","0.00057547790179001334","1.2903064441709661e-08","0.00029508195017818206","0.00014026468690157999","0.00044018985172181814","7.1562841638433511e-05","0","0.00016630476685595782","1.3728927832263741e-05","1.2659568764492332e-05","2.426096943915845e-05","0.00041930423067956059","6.0920065110966165e-05","8.3802870325327101e-05","0.00030131277912684451","0.00036708450355282064","1.7816803468335105e-05","0.00032695747618932989","6.7187165535890597e-05","0","0.00018186580379546467","0.00012947200552299571","2.0569819823645313e-05","1.5710789989286119e-05","0.00036438210064280416","0","0.00023536299082255841","8.9680913605253687e-05","0.0001992296500969178","0","0.00028054398830486662","0","0.00010214526178380131","0.00024150020743066714","0.00012226765699134548","0","0","1.2917842077501804e-08","0","0.00023558441219202194"
"7","3.5959550055288663e-05","8.3616458036242351e-05","0","0.0013138983102900369","9.5261865156468582e-05","0.00053131793818515381","3.41388075925615e-05","0.00025333176362070007","0.00017167372103821626","0.0011794448012157675","0.00017564926536981","2.5889285984204155e-05","0.00059522950873916599","8.0752754467359303e-05","1.3376657698099184e-06","0.00019164503147223703","8.8720024769514948e-05","2.5573476806854569e-05","3.3919064557077205e-05","0","0.00011404714140688837","5.1750748124475277e-05","0.00091519085239419047","0.00092523645952808785","0.0010004920644621231","5.0194955501016444e-05","6.4989084099148907e-05","6.0662745453990667e-05","0.00020588293467714051","5.6886968666768688e-05","3.9021286916247859e-05","0.00028323101352119621","0.00071921275070577293","5.4923177601998594e-05","0.00011423518776931684","0.00029578213442505103","0","2.6430791762935701e-05","7.8718145453109234e-05","5.0679204133976155e-05","1.3655873651014875e-05","6.8168395655878952e-05","0","2.5515860715424673e-05","0.00033774427806351829","0","2.9832482967382255e-05","4.5379110085068645e-05","0.00029218490610009298","0","2.1292813956749345e-05","4.7759775014524699e-05","0","0.00028861947420999928","9.3134633939719376e-06","0.00011249587613020537","5.7199575809192515e-05","0.00049685725437863325","6.9956053468394608e-05","0","0.00014101618142362915","1.7676174594369955e-05","1.9965818707947404e-05","2.979708597241761e-05","0.00022984845281770409","4.9250368443865062e-05","4.8139817183333e-05","0.00023404180115097338","0.00021543542331609915","2.3383868431421843e-05","1.9879121874915281e-05","7.0384747780856654e-05","0","0.00062559601417675696","6.8030401942527558e-05","1.2935456729080502e-05","3.3691591673323291e-05","0.00026193812815433916","0","0.00057643286875631785","8.4653618923953745e-05","0.00016117117488386641","0","0.00024101257809172399","0","0.00028642455300028296","0.00018167905826833272","0.00012594846529368292","0","3.8730789632725889e-05","0","0","5.1010744508103979e-05"
"8","8.1878118480704568e-05","5.4018508896147421e-05","0","0.0017206238051860245","0.00029453750560208102","0.0013069578480954655","0.0002928735343653229","0.00092487298762958193","0.0003171041884738849","0.00117779970993599","0.00052609500202457839","1.417043149035148e-05","0.00066358193445515854","0.00010472568789628568","1.1204877380351863e-05","0.0009188234410102532","9.960864988975605e-05","0.00010493189670791718","5.3587034348138558e-05","0","0.0001020000548700833","6.1034987513196172e-06","0.00080271392913100817","0.00016152235274968319","0.0021711988712364992","0.00059764990765370102","0.00010543701490395328","0.0001029112046953277","0.001284606888459109","8.34996160106185e-06","0.00022142596782174199","0.0015131856174150193","0.00093286385693356808","0.00010299150507902127","0.00012196825632784009","0.00053291578113676249","0","6.5196504675223326e-06","0.00019634661810596452","0.00010871698278481456","2.3725362450086143e-05","8.2867559525097944e-05","0","5.6947305798596347e-05","0.00076367399971087829","0","7.9613538530591067e-06","0.00013667267166542077","0.001417257650774168","0","2.7689846655150213e-05","0.00010039018030310118","0","0.0007298388275837497","1.314111630745827e-06","0.00062685413188249476","0.00025887274910372816","0.00050368752400907219","3.086201660253102e-05","0","0.00041637874303259554","0","3.8207370424611559e-05","5.1488680597196547e-05","0.00058612963754202017","0.00029673591227387928","9.7070807222813797e-05","0.00043430102072219989","0.00038515764999525322","1.9858444651371172e-05","6.6983839790710068e-05","0.00011917034367267919","0","8.9425710031395961e-05","0.00029525116254902503","1.5933638780390258e-05","2.2842262652975404e-05","0.00028623789722338283","0","0.00020875251032567366","6.4855336815797937e-05","0.0005731838397085193","0","0.00033505325762009218","0","0.00027432915979989014","0.00024153167369384644","6.1797104312845882e-05","0","0","2.1944005338075713e-07","0","0.00045244475908288615"
"9","0.00011178946427661736","5.7218701540689331e-05","0","0.0013216504960707727","0.00017782326043109994","0.0013853582968273485","0.00017072661869616719","0.00075540800406872924","0.00027991387484907547","0.00098226929811383572","0.00017447240241058273","9.3436947283580293e-06","0.00057851180053906308","0.00013195018666187127","1.050694613498743e-05","0.00073079196205001697","0.00010918357061691243","3.9148261774049484e-05","4.5687525106204407e-05","0","7.4310021243279053e-05","5.5931806402198874e-06","0.00036598772514782283","0.00012458603672051892","0.0018824112887145198","0.0007105150970738058","0.000164603053852707","0.00014817177798269045","0.0010773929041082979","0","5.7232901781877677e-05","0.00055224141841744032","0.0011659308142943229","8.2540147817366575e-05","9.7248479351133969e-05","0.00044713304083225392","0","8.9682374323073114e-06","0.00015133574566595891","8.8419431377515341e-05","1.3174483591380554e-05","9.7816965751700466e-05","0","6.3577177465541792e-05","0.00089354711367086186","0","3.6646863102314311e-05","0.00010329490007233595","0.0012329257341309023","6.8388414991747702e-08","3.5081928037836491e-05","0.00011601418293521157","4.5251434239034438e-07","0.00047165172843819563","6.9392358210944009e-05","0.00036187862998435905","0.0001054168028073645","0.00039627343734296392","3.1678287633189284e-05","0","0.00014848983406561447","0","4.0596349039433189e-05","0.00010213713857428047","0.00061251009725809397","0.00014259676755503257","8.3994767203025511e-05","0.00041292317730656477","0.00035227530940816178","1.5134990977764898e-05","4.2561768753630315e-05","4.2386395711585749e-05","0","0.00017064266391206956","0.00019440187746385919","2.8597789987587459e-05","4.3389553200299799e-05","0.0003312538320707208","0","0.00025024721013166564","5.3448638045436879e-05","0.00039697391889509116","0","0.00037403018722524775","0","0.0002478936555591501","0.00029223361602767779","0.00010592304150818766","0","0","5.8804510060687593e-08","0","0.00011016184638126656"
