"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"6","0.0007102150842641789","0","0","0.00075284196996126286","2.8726709130124859e-05","0.00047731953611188181","1.145392102712187e-06","0.00036159455986759713","3.1041281819556735e-05","0.00048400502218531204","1.4342995058071204e-07","0","0.00024069270617114985","0","0","0.00028133395492476631","0","0","0","0","0","0","0","0","0.00086498154886185778","0","1.4992248742480835e-05","2.1758518750306577e-06","0.00063303222785527659","0","0","5.5122473354088929e-05","0.00014124334395904488","0","0","0","0","0","2.773131881614443e-05","0","0","0.000729308483324026","0","0","0.0005692740652216506","0","0","0","0.00083235568777203053","2.6314804813540087e-05","0","1.0931331894079859e-08","2.3870691459647305e-06","0.00012953725388605621","0","1.3595165717723108e-05","0","0.00013183056283785864","0","0","0","0","0","0","0.00024060309698526204","2.9371189174074289e-07","2.9057474358255012e-06","2.3313585878069602e-07","1.0461551022315284e-05","0","0","0","0","0","1.3328324728798981e-05","0","0","3.1952631783146274e-05","0","5.9519306749337554e-08","9.7518262780788852e-06","7.5807215115832646e-05","0","4.3141580071312062e-06","0","0","3.0168014278174951e-06","1.635081667499962e-07","0","0","0","0","0"
"12","1.5023177482016295e-05","0","0","0.017408152143022878","0.00017958896322504357","0.006567504881574605","0.0011519010225445859","0.0089145069104951975","0.0011426818817409359","0.0022040449072100246","0","0.00019932700846105969","0.00046787414573521124","3.2900967290583874e-05","0","0.0030558014386017928","0","0","4.4024772691170722e-05","0","0","0","0.0048717614082167612","0","0.0043963363692158261","0.034104837823323762","9.3170073513146705e-05","5.6245676714244349e-08","0.027246460061167897","0","0","0.0061688592361348396","0.013139872007329393","0","0","0.0030422792600360328","0","0.00031067025642635073","0.00026029984492817855","4.8912980159985207e-05","2.5740090507375928e-08","3.322180031821795e-08","0","0","0.0082682587453415061","0","8.5114232363834891e-05","0.0025529698164934193","0.0074641081797982177","0","0","0.00026996007846903663","0","0.0070255185454637546","0","0.0032204739480484993","0.00017762593885124671","0.0036697222571350739","0","0","3.2496806541667229e-05","0","0.00046030515534121991","0","0.00058770844061951856","0.00013292894156288036","4.5547872634535937e-05","0.0085785488202811157","0.0025430970001146026","3.3060661015780332e-06","0.00015690706987123092","3.4722785881962461e-06","0","0","0.00011570012299647049","0","5.5064481717652357e-08","2.4737450936921501e-05","0","0.0001003318302738732","5.2686528858398172e-05","0.00042131692388455797","0","0.0016333360596270715","0","0.00013090713139008603","0.0030736027079922338","1.1131632339493551e-05","0","0","0","0","3.805833393671676e-05"
"15","2.2989316183542979e-07","0","0","0.00032223664261230765","1.3071533596480727e-05","0.001507965096585433","0.00028466672811754671","0.0027570410875093444","0.00036457370475980057","0.00028026150835735216","0","0","0.00058095362594617612","0","0","0.0015884865128130625","1.2908362499423764e-07","0","0","0","5.0976368541870507e-07","0","1.4112433620551168e-05","0","0.00041775124272059726","2.456246595871951e-06","1.5738661532438892e-05","9.8182548071444917e-06","0.0040447008483361756","0","0","0.00023574301453286941","0.00041279019759950518","0","1.7091670900495819e-05","0.00026626070166985768","0","0","2.7764310577025453e-05","3.6938017398976497e-05","0","0.00018630867256044613","0","0","0.00086034841000533766","0","2.0352965563278527e-05","8.6618360708897051e-08","0.0009232983877022797","7.0950528861458891e-08","0","0.00021992121686246476","0.00029762431314062006","0.00020070857151071708","0","0.0003998559133838615","2.9507230074135573e-07","0.00032632693203252195","3.6810570217621082e-06","0","9.6345980095246297e-07","0","0.001285319904370341","3.0898197567468524e-05","0.00025291577899027662","0.0007790565521412691","0.00010204907991490993","0.0005586031670720815","0.00035945537942084805","1.6844822233027452e-08","1.3504163504183064e-08","1.2892031456380963e-07","0","0","0.00039644797681217267","1.8975552090880954e-08","6.8934836186714281e-08","2.988112936842374e-05","0","0.00050600675835558854","0.0001864210974895207","4.651705424138031e-05","0","6.0564964954564541e-05","0","1.6017296766084379e-05","6.3495541442928796e-05","1.3267969361120324e-06","0","0","0","0","0"
"16","8.9161184304250188e-05","4.3267134899640447e-05","0","0.0027062182218631349","0.00016154084703411172","0.0022152728434829843","0.00020335573854274178","0.0010765684254938584","8.9029323230196451e-05","0.0021408474893841655","0","0","0.0010617633649942753","0.0015077418340135262","0","0.000894211107070099","0","0","0.00031363833048286377","0","1.0652076934322146e-05","0","2.3121791728983569e-07","4.3929090979888166e-05","0.0012696310651671386","0.00011015848683335886","1.9706370833102172e-05","0.00038740975311178416","0.0015368706637240775","0","0","0.0012675478160227192","0.0018724127907339258","0","0.00014049257260887723","0.038748161515324953","0","0","0.00021621113611698341","0.00083791279831096303","1.3996536020003078e-05","6.5594290619552826e-06","0","0.0041205567719069039","0.0044370947523003027","0","0","0.00016460331020354556","0.00068291663739994109","0","0","6.7453699381400835e-05","0","0.0015721018684452595","0","0.0057912829622967198","0","0.00036899894092799757","0","0","1.540027400737283e-05","0","0.00013859924033513175","0","0.00032550293941412638","0.00032013544356683678","6.2660514353278461e-05","0.00077235664238272631","0.00026450093014419558","0","0","3.1030895613893601e-07","0","0","0.00027261555716614919","1.380800459176617e-06","0.00010660646507706449","0.00089442573803288948","0","9.0132167749664837e-05","0.00037013558920813671","0.02581468412199181","0","0.00023514907224819135","0","3.5893116328111921e-05","0.00072416572527525525","0.00011597060318474502","0","0","0","0","0.00019652763777667977"
"20","4.8918551913172541e-05","1.325004060641951e-08","0","0.0022184943203023091","0.00029227956470995203","0.0030390640697294485","0.0010847364706509609","0.0043809418367381","0.00059715460745044001","0.0019719383752446378","4.0606131750241444e-05","0","0.0016041999146304","0.00041738350833628649","0","0.014028732461922485","0","0","9.1656155965828893e-06","0","5.2898756016702054e-06","0","6.7390082623768359e-05","0","0.0038266158465931812","0.00029331974812778433","0.00014635737868922316","5.165809188366382e-06","0.0045774181988801326","0","4.8776323529409699e-06","0.00085205520518526234","0.0011315919549886595","0","6.0446301992806396e-05","0.00097074743097694488","0","4.6212336274227304e-06","0.00029826282411178889","0.00027305183199078704","7.1193220872580351e-05","5.4051925818702302e-05","0","3.729596007365165e-05","0.0054168796987633773","0","1.806042437642537e-06","0.0004957101673897672","0.011470674750645655","0","0","0.0020726043127196041","0","0.00076386414672623896","0","0.0015689810737026929","0.00014239367132074662","0.0037481261162149448","9.9164403877814172e-06","0","0.00029752576396434305","0","0.00034371625022724966","0.00081254626098691116","0.0055134740298783489","0.0028824552228141","0.00017438376109359295","0.0057405079990446445","0.0056353574830850049","0","0.00010812403113351537","4.0230898868268506e-05","0","2.6602708842330556e-05","0.0014480663207267865","6.3423854254357286e-06","0.00019755753934852548","3.6094213330823456e-05","0","0.00044932153978746882","0.00022516323102694607","0.0011103687242866203","0","0.00029911231656037587","1.4658757939962784e-08","0.00017423248029905381","0.00032880667418056777","1.0846612815336793e-05","0","0","0","0","8.5439527889197395e-05"
"30","0","0","0","0.15757068610735697","8.0610132726637862e-08","0.0013391879793522589","0","0","0","0.0021377678902471452","0","0","0.00018399545907647356","0","0","0.0037179105303468138","0","0","0","0","0","0","0","0","0.0056422026671235142","0","0","0","5.9189437526934996e-05","0","0","0.0012198448126659728","0.00010860553003800527","0","0","0","0","0","0","0","0","0","0","0","0.00014018325532668275","0","1.264913106366421e-05","0","6.0347968814816325e-05","0","0","0","0","1.3201462076866154e-06","0","0.00039854758374946784","0","0.0018162012316002385","0","0","0.019367997604690126","0","0","7.0907623374674882e-05","0.00047628435487603117","0","0","1.9348472563624105e-05","0.050098132808414582","0","0","0","0","0","2.0319191644138584e-05","0.00172857974865893","0","0.00044288577291451918","0","0","0","0","0","0.00010862807112325144","0","1.6963601030257626e-08","2.5377796286253999e-06","0","0","4.6711950592132782e-07","0","0","0"
"42","8.0815913224139082e-05","7.7907990305137073e-05","0","0.00047468711097954386","9.3272362516929816e-05","0.00039485362847044595","2.3403003848178723e-05","0.00046515647576176846","0.0001449168638148586","0.0038231082230798237","0.00015729606309379467","3.1435494851313497e-06","0.00019865292239566135","4.3743610212839396e-05","0","0.0002697511650388767","3.3023085195197975e-05","0.0018710157908094587","1.7908947427236343e-05","0","6.8646000849385794e-05","0","0.0011877139192287313","0.00020501510875831433","0.0011662875280285256","1.2934281896161372e-05","8.9630201600170769e-05","0.00010564695078643951","0.00025157753999598522","0","1.291494705303033e-05","0.00064631634903084597","0.000313849903818736","0","0.00017193873875262109","7.564267534329205e-05","0","7.4133558961653266e-06","0.00023053307128439982","2.9811813784447282e-05","1.7669744014236671e-05","7.1880409473931592e-05","0","6.7962360843591509e-05","0.00083462158230411326","0","3.0019420684174399e-08","0.00035799298369304608","0.0018551854557195819","0","0","4.8885769916967478e-05","0","0.00046021989217206956","0","0.00027032147916658577","6.6020478574003785e-05","0.00036874591051073226","7.3522205335857507e-05","0","5.1466127264427131e-05","6.0908614142245378e-06","7.2338426018587889e-06","2.3655340241900673e-05","0.00013961286951949423","0.00016888982473791953","7.9600934359129425e-05","0.00019394492646874784","0.00039677202975647153","7.0247646512171664e-06","0.00010250203657039521","0.00010663855799569818","0","1.3421746305605365e-05","0.00012801052490301525","7.3356509614813309e-06","1.8345197643748984e-05","0.0003594845739248352","0","0.00018777359195334346","0.00010563586750919125","0.00020215974664393891","0","0.0012363769880648647","0","0.00024447412439659188","0.00012638827340012267","9.0869744808540418e-05","0","0","0","0","0.00027443836321808951"
"43","1.8108823781900618e-05","3.3009810474004961e-05","0","0.00079156614596527378","3.7488470572709242e-05","0.00092599744611036026","1.32645994929594e-05","0.0010225112513061109","6.1662065647244258e-06","0.00211293918518912","1.0822713097038649e-05","0.00010078402192848517","0.0017021773822877952","2.1665435719311777e-05","0","0.0024846057138373377","2.362309612278242e-05","0","0.00019084881086785263","0","0.011784403191047999","0","0.00045573705019620793","0","0.0053997787270369498","0.00011377738827963328","0.00023101613816972071","0.0016302971531540623","0.00057233629851177476","0","0","0.00073305941621976307","0.0053136662278266749","0","2.0725554089462886e-05","0.00045851351536890968","0","0","0.00012444206375240862","0.00094751799574157539","3.1808066152352067e-06","3.4332769052696853e-05","0","0.00018521925299965798","0.0018878269365133996","0","0","6.818803308679416e-05","0.0038080632301524093","0","0","0.00035031486942280356","0","0.0013166527766065765","0","0.0016045588698741994","0.0020520411756904389","0.00032455024760965999","0.00016954901568255008","0","6.6819391364083165e-06","0","0","0.0015556102472897356","0.0010140817648497493","0.00010001046097780316","6.9102285125025265e-05","0.00018962571333042892","0.00082178392025009724","2.032476191492985e-05","1.6144779877717352e-06","6.3901085713895912e-05","0","0.00033014300394945727","0.002382868358434554","4.7234543294440762e-05","1.5416559755513678e-08","0.00014990201633060138","0","6.8346121275301202e-05","6.8585292613539635e-05","0.00012425841113570925","0","0.00070260073581433541","0","4.6422162237460025e-06","0.0016947672093110895","0.0004521070826880433","0","0","1.972825760095348e-08","0","6.6544507613614789e-05"
"46","6.1916947546817656e-05","3.4263506974780936e-05","0","0.00025723289319986995","0.0005087462685590703","0.00073572813488537051","0.0001008353166027112","0.0007132022836255096","0.0001867784083719273","0.0005207151655879799","2.8175404222844688e-06","0","0.00068787434060929391","5.2284349422200006e-05","0","0.00054420357202231465","0","0","1.8417331604976415e-06","0","4.0283850375030626e-05","0","0.00017895787113539723","0","0.0015799444802635492","0.00011428580520691435","0.00012791659764039242","9.7582947657122495e-06","0.00071688690156581606","0","3.6033318788850432e-06","0.00016205616854985443","0.00054130504508523942","7.8780761909282407e-08","3.540501519310207e-05","0.00040876832466096684","0","6.0109323816341867e-05","9.5132027051176725e-05","3.0883456476417045e-05","2.0104605740721054e-05","0.00011327706526492566","0","7.7976082502173628e-06","0.00057359032477947471","0","5.4074501564238448e-07","3.2418224969240787e-05","0.00059823030701207217","0","0.0010668191949177151","7.2787103671206703e-05","0","0.0010035799566609734","0","0.00023819356935863648","5.6929650005356401e-05","0.00050108690693712022","1.2313393661194213e-06","0","1.6115632024954498e-05","0","0.00016319381632916261","0.00024225255127742522","0.000881857407517934","0.00010558853070392324","7.7593683006658013e-05","0.00024141801293596233","0.00070056777192084932","1.7463667182981741e-06","2.7964477339103752e-05","5.3452502878710227e-05","0","5.4250002591563539e-07","0.00017243640587383941","2.6783718571247836e-06","5.0260680256541177e-05","8.8626154194491134e-05","0","0.00010097131418687619","5.220925005576471e-05","0.00023650173945799204","4.5685984613842192e-06","0.00011254224334688436","0","0.00034769053865141145","0.0010832909483540832","6.9476785151569164e-05","0","0","0","0","7.2011211569663277e-05"
"53","0","0","0","2.3644150038222268e-06","0","1.9625263906933652e-05","0","0","0","8.8707025413485921e-05","0","0.00033183011775673153","0.00017887031708135667","0","0.00027156304683113099","3.9804128245971995e-05","0","0","0","0","0","0","0","0","0.00017029846970972084","0","2.3053147732731942e-07","0","4.4500713543817205e-06","0","0","0","0.00140271717152845","0","0","0","0","0","0","0","0","0","0","0","0.00020957365071191562","0","1.320665477397087e-07","0","0","0","0","0","0","0","0","1.9657913858585842e-05","0","0.00020369500439756493","0","0","7.3772835781977636e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00014881712808493359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6648095746373142e-05","0","0"
