"topic","animalcrackers","apple","applesauce","avocado","bacon","bagel","banana","beans","beets","blueberries","bread","broccoli","bunny","burrito","butter","cake","candy","cantaloupe","carrot","carrots","cereal","cheerios","cheese","chexmix","chicken","coffee","cookie","corn","cracker","edamame","egg","eggs","eggy","fruit+snacks","goldfish","grapes","greenbeans","ham","hotdog","icecream","juice","juicebox","ketchup","mango","meat","milk","muffie","muffin","mummum","noodles","oatmeal","olives","orange","orzo","pancake","pancakes","pasta","peaches","peanutbutter","pear","pears","peas","peep","pepper","pepperoni","pickle","pizza","potatoes","pouch","pretzel","prunes","puffs","pumpkin","raisin","raisins","rice","sandwich","smoothie","spaghetti","squash","steak","stormtrooper","strawberries","strawberry","sweetpotato","sweetpotatoes","teddy","teddybear","teddygrahams","toast","tofu","tortellini","turkey","waffles","water","watermelon","yogurt"
"0","0","0.00040463256285204593","5.3623821321959853e-06","0","4.2321046838019144e-05","0","0.00026297142766044859","5.8414994337459091e-05","0","0","0.00013043919547056724","0","0.00026273274163006249","0","0.00015765263403629175","0.0002370269829720018","0.00060870331680923243","0","5.6527268810960058e-06","2.0635470566341234e-06","7.243540669207442e-05","9.5158022375247369e-06","0.00023851419952925494","0","0.00034280883535521035","0.00064861105929591031","8.7350138601688946e-05","0.00061091293880127665","1.5277495990927785e-06","0","0.0004225763747629741","0.0013009577835948691","0","0","2.7765774533850744e-06","2.8353966758133842e-07","0","6.5578986869277052e-06","4.6039251665156117e-07","0","0.00073184582281291043","0","9.9169562731325143e-06","0","9.3020052373166771e-05","0.0021233473458276463","0","9.5062546679729756e-08","0","2.4462030838920458e-06","5.8659262972617645e-06","0","0.00070360734600681649","0","2.5934454581369217e-05","0.00012337554020157182","0","3.301370707878972e-06","0","4.4024386499508366e-05","3.0985190933022697e-05","2.7718260549804714e-05","0","0.0001019668523320014","2.6476460534008179e-07","1.320305577271791e-08","0.0010032000035649635","0.00013990253492168297","0","2.2565273730696989e-06","0","0","1.8204750384133645e-05","0","1.270864929854541e-06","0.00053931712838496497","0.00034222797475706485","0","6.0067116551406431e-06","2.2810728063686845e-06","0","0","3.4008752562722436e-05","0.0004699139977924811","0","0","6.2826601803297779e-06","0","0","5.8937340236393565e-05","0","0","4.4356886882259539e-06","0","0.0026199215416088054","4.7118009665563968e-05","0"
"1","0","0.00020704766892924134","1.0301417366506662e-06","0","0.00012328614950201793","0","0.00010438623296917456","0.00015626131021061792","0","0","0.00051900989202728219","0","0.000129322363851621","0","0.00020019152911119554","0.0017836778913002927","0.00022611269946699921","0","7.6796547547142448e-05","8.8778538686294366e-05","7.7921539147420937e-05","9.5452665001508379e-06","0.00066748664579484654","0","0.00056997187013534286","0.00028556800424859972","0.00021469309877712075","9.8911115329909673e-05","1.7939012724476287e-05","1.0405157627166908e-08","0.0002314619040408108","0.00068329983991839152","0","0","1.2893962547901522e-06","7.7301539753709715e-05","0","1.05626718148671e-05","2.6902240798760076e-05","3.6385188032135384e-06","0.00048856290308634106","0","5.8690436613286004e-06","0","0.00031295718195040222","0.00093319502625704423","0","0.00011115952866012656","0","1.6019158323405656e-05","4.5160000893822189e-07","6.8728979015971597e-06","0.00054366386966687714","0","5.9320279626255813e-05","0.00011453717392673489","0","2.8709130550998539e-05","0","2.9040565456696534e-07","5.6382891967126133e-05","0.00024982719540983419","1.9759209000446221e-06","2.246312437175712e-05","1.096056160646261e-05","2.7240231792209816e-05","0.0004685864467703906","0.00015751198347928105","9.4636422789120073e-07","3.4191674778817361e-05","0","0","3.1704948744265055e-05","1.7224450228288678e-06","1.1092429703733331e-05","0.00024179631363271947","4.525801052072768e-05","5.0631732801803322e-06","0.00022235514588498192","1.9077576991594482e-06","1.034727979943485e-07","0","5.5800457951485003e-05","1.4439109084595259e-05","0","0","0.00020192639298129302","0","0","0.00010856742081193279","0","0","0.00010101824213431298","0","0.0024435985939041146","4.7547363826798242e-05","4.9934427374354671e-07"
"2","0","0.0010700979869036798","0","0","3.1586046118825043e-07","0","0.00012617826253391359","5.0253131492823603e-05","0","1.3077242529516239e-08","0.00012862167050620233","0","0.00037726435033662867","0","0.00016345021673556042","0.00057453250910252662","8.1496407100500832e-05","0","8.4093695223913983e-06","5.294754671032854e-06","0.00020904435025983269","3.0803926643392957e-08","0.00042989339453745147","0","0.00029877342608410231","0.00018045576173859038","0.00021569403775908438","0.00010224507994981295","6.6973082397554502e-06","8.0310838987493826e-05","0.00031038857633640203","4.3039795848273627e-05","0","0","3.4290766758476629e-08","0","0","1.2101834216209802e-06","0.00040380641223750405","2.189883802894842e-05","0.00030046650381331495","0","0","0","0.00035227333304728583","0.00052607613789349122","0","9.4853724818414572e-06","0","3.6195396036516842e-05","0","0","0.00060238490767371643","0","2.9967135277740781e-07","0","0","3.0600323217154284e-07","0","0.00012145499342963481","5.0161420469117887e-05","1.9266538426355918e-08","0","7.7222980488452697e-06","1.6409817531345128e-07","1.5062029877873242e-07","0","0.00026092504992844583","0","3.7981267854830263e-05","0","0","7.7532725098813362e-06","6.510770711767409e-06","6.032760478124281e-06","4.4802256057410656e-05","1.4879394417792967e-05","0","3.1615780162424324e-08","1.7471171128433646e-07","1.2165978148227126e-06","0","3.147861012945527e-08","1.4422124859096957e-05","0","0","0.00021193015108455243","0","0","4.7603844525723716e-06","0","0","6.0779479501257793e-05","0","0.0016850352973920783","0","1.9379626949589464e-07"
"3","0","0.0002454955406801037","0","0","9.7985994832570355e-07","0","5.1964812958764054e-05","8.2740792381277248e-05","6.7957919610865299e-07","2.312150128892003e-07","0.00028343354286419341","0","0.00027281090707173268","9.5997536778674053e-07","0.00021450429172777143","0.00016551056999918059","0.00017258222922094689","0","3.9413042081060936e-05","3.0674291988085855e-05","0.00055992377554353839","1.8121470847486612e-06","9.0888377772809685e-05","0","0.00097513560474498978","0.00035571765514986163","0.00018335708663493652","3.198353161153023e-05","1.5361757815856336e-05","0","0.00019944897802238564","0.00079019943847115381","0","0","1.0655929295876552e-06","8.8163208487975423e-07","0","6.496220895905166e-05","0","5.6991127842192572e-08","0.00023168272474753497","0","1.1830965786743022e-05","0","0.00012260559002097101","0.0026640348059275409","0","2.0163857578569593e-05","0","3.4039024396279849e-06","0.00027027595939934344","0","0.00062662915270198167","1.5000165372899077e-05","0.0001951793124762748","0.00026798833744343044","0.00025036723496770321","5.8920551513425875e-07","0","4.0421284760806431e-05","5.9837587519785917e-06","4.4966264984538113e-05","7.1117521777406531e-06","1.4590620857685024e-05","0","5.8519810454496356e-08","3.6044946467909542e-05","5.1742581741886217e-05","0","0","0","0","4.1584587684407628e-05","8.3063273847823694e-06","9.3161082502450124e-06","0.00012089738092239805","0.00013438288282820835","4.0213100491811544e-05","0.00012245226260606705","0","1.0070126013945741e-08","0","1.670416027822996e-07","9.9873901988553913e-05","0","0","8.8499644158263643e-05","0","0","0.00055227709961717453","0","1.0503169292367203e-08","8.6259759674970623e-05","0","0.0013312837329978737","0","2.5066604377684733e-05"
"4","0","3.8244684537969076e-05","4.2011772926622594e-06","0","0","0","4.1903095124523406e-05","0","0","0","0.0001342930095564018","0","0.0002961045560827778","0","0.00010270811937250088","0.00014777949176237145","0.00029379783644440597","0","0.00018870919739326667","1.0483249411443623e-06","4.3835882999825015e-05","1.8562121432937713e-07","0.00016840452403365619","0","0.00019366063043133828","0.00038851971892427372","9.0850226943747485e-05","7.1651763306528065e-06","1.2862027316917894e-05","0","6.0135688137745773e-05","3.410455787651845e-05","0","0","0","1.6145014699617161e-08","0","1.1096541322122315e-08","0","0","0.00031772538266105495","0","0","0","0.00011758905520559051","0.0007970044292175309","5.3014331512313701e-08","0","0","4.875076059437462e-08","0","0","0.00012232082567320644","0","0","0","0","0","0","0","0","0","0","2.0479872375718806e-07","0","3.6954053591792666e-08","0.00053203277729265558","1.9420987778840358e-08","0","0","0","0","4.2703667566812762e-08","0","2.9588336907139197e-08","8.7573496483693663e-08","0.00018032731062486341","8.4880031573728387e-06","7.2720066982478371e-07","0","0","0","1.2175698501856489e-07","7.990909232783007e-06","0","0","4.9213170228709063e-05","0","0","3.6587680007044543e-07","0","0","3.8729795066239131e-05","0","0.0019462669211081404","0","9.89917543502615e-07"
"5","0","0.0019009277989970644","4.4649427200386977e-06","0","0.0001166526186300598","0","0.00020479921145386072","0.0010104978345967068","0","1.9810950505117924e-05","0.00062009615127707278","0.0014016269502869605","0.00023668802989204281","0","0.00038486912075692831","0.0026996713756441797","0.00050058020197917767","0","7.6992501433219271e-05","0.00014232772523146064","0.00026338136764449788","1.5206811682358306e-05","0.0015444933807333572","0","0.0010647100520635759","0.0016641878065589771","0.0010610209296767997","0.00015263888897731892","0.0016035253901105165","4.1174833084333571e-08","0.0014027408764363115","0.0014288643253860861","9.8045177901186764e-06","0","3.4998102001715172e-05","0.00096227903445527188","0","6.7965950508136138e-05","0","0","0.0086554623564881056","0","0","0","0.0003713927339572176","0.0040635733095949322","0","3.1412519273507303e-07","0","0.00015999332515735713","0.00019349425797310612","0","0.00759722981115943","0","0.00012386851427755691","0.0011355433456422973","0","3.1250532577513183e-06","0","0.00032901383688300779","1.7465467281364173e-05","0.00057117407407931205","0","0.00012531832076636288","9.2097833586117622e-05","5.3268233214245867e-05","0.00083897860811127747","0.001042873336472984","0","1.8567335442579894e-06","0","0","0.00038258546248647052","2.9440478218719165e-06","8.1240851331824492e-06","0.00049001686451161748","0.0004688581032653726","2.9454594106277821e-05","0.00048998492448444468","1.4016303911378071e-05","2.643966649241335e-06","0","2.0952311159244765e-05","0.00041772144231866392","0","0","8.3375479631884021e-05","0","0","0.00010756421627873036","0","0","0.0002443958715978326","0","0.0014615595144006758","1.7753810786802833e-07","2.4373741613134806e-05"
"6","0","0.00022455002440671342","0.00011088307038122659","0","5.9445521323039411e-06","0","0.00018623407880173301","0.00013829960166976629","0","0","0.00041685653976816599","9.6378909666600552e-07","0.00029241770894137696","0","0.00048770343528041493","0.00092267936328880077","0.00012711065501516821","0","3.8108809660106375e-06","2.4836287474995517e-05","0.00069002193921389294","6.836006380869104e-05","0.00069178297862871317","0","0.00079728056512506928","0.00026165679672766928","0.000394697683515845","0.00044648001156018382","6.3874277977714108e-05","0","0.0004423877368517866","0.00036355509774354465","0","0","4.4508466644227411e-06","5.9522954942292414e-05","0","5.5093189668674303e-05","0","0","0.0008877904881993147","0","8.0454168791933988e-06","0","0.00048917127397855853","0.0013149412141767976","0","0.00014286580445589588","0","9.2876162834848015e-06","3.7561983639083457e-06","7.3822958987364974e-06","0.00038391583860155633","0","3.434722181096709e-05","3.4106623110377201e-05","1.0878967444931231e-07","1.0849731429572228e-05","0","1.6687950293693479e-05","2.9073176176936552e-05","0.00014678673726358857","3.2233464587176797e-07","3.8124946210394965e-05","0","5.5316564610635213e-05","9.0708848103121016e-05","0.0001398065335874585","0","2.6365035567664617e-05","0","0","0.00010633213094947984","6.0738940792961369e-07","3.4974682577721166e-06","0.00020162813207744601","8.6413207032832719e-05","4.1419372272608666e-05","0.00017142716694323689","3.8833623125670925e-07","4.1990124876259977e-05","0","0.00017622215248731492","0.00013757045855546519","0","0","0.00011773891828327179","0","0","0.00011021254350911702","0","0","1.8099409692623428e-05","6.0531909544260892e-05","0.0015850353071734569","1.2339262283313042e-06","7.3703746678513624e-06"
"7","0","0.000600012499641266","1.8894773622929039e-06","0","2.4501573201393032e-05","0","0.00025368533023619041","2.2133638737858713e-05","0","0","0.00051091275838280954","0","0.00033654420375096199","0","0.00022108599196640847","0.0010426942012098169","0.00024397948125724092","0","8.7620376629186417e-06","0.00016881158094795727","0.00069282896726590359","3.2323069236591749e-05","0.00095118206682689934","0","0.00044355500103392348","0.00033710633433642806","0.00047794227702318702","0.00031517077147631272","9.3117013689933105e-06","2.5774525119319821e-05","0.0016888125403288388","0.0004132499909775469","8.3025237123408945e-07","0","3.9691224693061442e-07","3.0630818988099428e-05","0","4.5552294030083559e-05","0.00011815569772778658","0","0.00073104974628289919","0","8.7374988008373907e-05","0","0.00011829700715479436","0.0013193172775444002","0","0","0","6.8219359260593702e-06","0.000276027406152534","0","0.00034976726982867504","0","5.4336209446392483e-05","0.00010504044259516421","0","2.5118227418790396e-05","0","0.00011446665859658638","2.738572801347169e-06","0.00073959638663191911","3.5600998035843399e-06","6.0219276123033578e-05","0","8.3115157931273133e-07","0.00067118421500717907","1.0492679689464297e-05","0","5.5128214139662353e-07","0","0","0.001195394280950257","6.0341521860709618e-05","3.2868912683726228e-06","0.00015548252266695702","0.00012598384655858734","5.004773370267832e-08","3.1944991748801109e-05","0.0028913112618285629","0","8.9433477786523919e-07","1.3346857809333334e-05","5.0125497710792121e-05","0","0","0.0003172218037209024","0","0","0.00059412299037466887","0","0","0.00011275876416329471","1.1865460522824054e-05","0.0014322236483036248","0","3.7900437723944578e-06"
"8","0","0.00055968031098494191","0","0","3.5611440937602851e-07","0","3.1047107983606245e-05","2.1613323925395755e-05","0","0","0.00023749365821874394","0","0.0012890005643301863","0","0.00021602725026236206","0.00050353231543660978","0.00020137883478136233","0","8.5725284587316261e-05","3.1277732488841485e-05","3.8836820131697701e-05","1.5946659163647554e-07","0.00022609089297507542","0","0.00032216087188065599","0.00089177194451740404","0.00043781582042334258","7.8934411755251043e-05","0.00048490381687966955","0","0.00057882987794612183","0.00032492257500459158","0","0","2.4505910967582603e-06","1.9576830964226251e-08","0","3.5692266364494896e-06","0","0","0.00063314133235318549","0","8.4888611370020457e-06","0","2.7974678647163389e-05","0.0004882277315864965","0","0","0","1.0519400276497408e-06","3.6715675173414279e-06","0","0.00012442112173573626","0","2.6746193253455293e-05","3.6548458964163078e-05","0","8.8937868559502644e-07","0","2.4705151874599039e-05","1.7067711024631131e-05","6.2137522417762985e-05","1.3000538172380774e-05","3.2666502788982549e-05","0","7.3722800539848665e-06","5.3501553027390919e-08","7.7038568449319791e-05","0","4.6687695998213564e-06","0","0","7.8135323935995659e-05","1.7502988452225748e-06","1.0398336100617297e-05","0.00040291620063068802","4.0307694491738341e-05","0","3.4619193173436912e-06","1.537132658917306e-08","0","3.3813924277469819e-06","1.5002673420066025e-05","5.4568074113759587e-05","0","0","0.066877047697542644","0","0","0.000167212744707826","0","0","0.00018087942079482403","0","0.0014788486090696483","4.2464629966988728e-07","0"
"9","0","0.0037559600573859242","0","0.0021388125009490768","1.6411035720224361e-05","0","0.0011450550671668485","5.767900396448798e-05","0","0","0.00040161968029186378","0","0.00039411856191971377","0","0.0012396609759385557","0.00096403412334954391","6.1334727488114352e-05","0","0.00028485996642347303","0.0001276562431735135","0.0018285362403579397","5.1331779015917854e-05","0.0039328704302036988","0","0.0017346099681696339","0.0029145042451318788","0.002399861854235181","9.8870252622601881e-05","0.0002982828805947077","0","0.00017331838677389982","0.0003264742617871622","1.1236045651468478e-08","0","1.5744716497516645e-06","0.00086429576365288318","0","0.00019875002751974251","0","0","0.0066873358762596594","0","0.00020424679492275674","0","0.00014783380378064704","0.006017031563149847","0","2.6874602648641016e-05","0","0.00084345960133236949","0.0001838389297303384","0","0.001061390171023876","8.7613854447934309e-08","3.1112660210836531e-05","0.00022721900430328719","0","1.5288201008802868e-07","0","0.00023724614517535545","2.1179253292567827e-05","0.0001957820832900681","0","0.00032659946044090568","0","0","7.6869580258091019e-05","4.9248921652682497e-05","0","0","0","0","8.7606528903632806e-05","0.00014859480547525268","0.00030787285006324164","0.00017886965108832525","0.00033463936887009351","0.00010349605554155139","0.000134332544193229","3.3254367225424302e-08","4.130662240081812e-05","0","8.2757414774808691e-05","0.00045255603694315975","0","0","0.00016649990875137498","0","0","0.0003201116897718014","0","0","0.00046671684594421181","0","0.0023032540987820318","0","0.0026805280776131999"
