"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"0","0.0034731160305529049","0.0045349776566251856","0","0.025259891799209969","0.0047794043297012482","0.019113792998758091","5.7664316693158664e-07","0.014997095164241456","0.0046578772465920145","0.024207873660047438","6.226119722749416e-07","5.7529707427753172e-07","0.0026957231019484116","5.9278260029335541e-07","6.1609684748928351e-07","0.013253243271459911","5.9000193067848099e-07","5.7755495403761044e-07","6.5688475704498241e-07","0","0.0039887597539929954","5.7502912122123079e-07","6.0343228887859036e-07","6.421625334381063e-07","0.0023534393879905725","5.8073093080528997e-07","0.0041530863819964009","5.7485657901635634e-07","0.014832772365401493","4.9779779829697235e-05","6.0588510615987828e-07","0.011392521545218739","0.002591569504430648","5.7716376505879162e-07","5.8983488273257916e-07","0.0095310415938194195","0","5.7490011007122231e-07","0.0057190726380501036","5.8874708063143921e-07","5.748502681935013e-07","0.0036845944101697031","0","5.7546242703488358e-07","0.030989315571794962","0","6.0967633987357133e-07","5.7992638503569455e-07","0.014508999178014211","5.7484395176760907e-07","5.8952217579756326e-07","0.0033981907006554323","5.7484397193147867e-07","0.012978613393824025","5.7490773825102997e-07","0.0083284246463287224","5.8621859546028967e-07","0.014411654742546218","5.7527830080087778e-07","0","0.0048442323450441803","5.7490921764879534e-07","5.755291522498039e-07","0.0030068628904265844","0.012233380772682236","7.236856393169926e-07","0.0031609266656525367","0.012176338885835851","5.87363225742533e-07","6.5271091006662369e-07","6.2950618567323678e-07","5.9225346169531948e-07","0","6.4894834089953211e-07","0.010238050047995077","5.8914317456239676e-07","6.1114787447702215e-07","5.9067139375824908e-07","0","7.1664693933569786e-07","0.0035175635976742881","0.0058095531623895864","0.0020456300788209052","0.0082146853096504158","5.7484395176755295e-07","0.0077899652859228889","0.0078810561855250181","5.748629250430842e-07","0","0.00059668520472075447","5.7484395176756417e-07","5.7484395176755189e-07","0.0043474733874649778"
"1","5.3985613600862325e-07","5.5245276544939055e-07","0","5.6132286256539434e-07","5.4688270278098486e-07","5.7478371680865388e-07","5.4066708540269937e-07","5.5606214881815196e-07","5.4896249511403918e-07","5.5168674242850881e-07","5.632842388592934e-07","5.3860736392384289e-07","5.5490769308082286e-07","5.6591741221012146e-07","5.3841195073814045e-07","5.5379836296984e-07","5.3845323153900981e-07","5.5117787529905802e-07","5.3848574437494799e-07","0","5.3843057560149552e-07","5.3853198344717684e-07","5.7587487638799688e-07","6.822188623698449e-07","5.548965490867934e-07","5.4731268593873262e-07","5.9212793617809453e-07","6.3662468179645664e-07","5.4950368115715648e-07","5.4367299305389147e-07","5.4065124901444016e-07","5.5730154388731522e-07","5.5960653868611766e-07","5.3841195135563912e-07","5.3878589279528378e-07","5.474290109412024e-07","0","5.3901357416772221e-07","5.5354415435253601e-07","5.4396764020642916e-07","5.3841195280120376e-07","5.416681105549388e-07","0","5.8283732235445377e-07","5.6401340446282997e-07","0","6.1723363047715824e-07","5.4313971466466315e-07","5.4732170573207723e-07","5.3841195042780304e-07","5.3847506983988017e-07","5.4606377930465324e-07","5.3841197224541755e-07","5.6152834363016673e-07","5.4039647881425984e-07","5.5005701053809139e-07","5.7266892839756601e-07","5.5392169791040556e-07","6.4250210216681911e-07","0","5.5306344732001806e-07","5.3845149432241317e-07","5.3841195062095418e-07","5.3841202049760442e-07","5.5557402704100194e-07","5.4949842475345782e-07","5.4559005477767274e-07","5.4690925731911333e-07","5.4618660608331275e-07","5.3853871290135067e-07","5.3842158138059111e-07","5.5411189399006702e-07","0","5.8771811967007006e-07","5.5969640364548674e-07","5.3841865453442963e-07","6.670245344570957e-07","5.4821196368632103e-07","0","7.1212459242793003e-07","5.5178571127777874e-07","5.4336991576384943e-07","5.3841195042773792e-07","5.3935599090014752e-07","5.3841195042773792e-07","5.8010903159217344e-07","5.5302088421687632e-07","6.8995555987572143e-07","0","5.384121220059694e-07","5.3841195042773792e-07","5.3841195042773792e-07","5.4268181938810427e-07"
"2","6.0692339786428237e-07","6.5677990390623309e-07","0","6.3814015736739245e-07","6.0660454014509505e-07","6.5268472628338926e-07","6.0606055992924531e-07","6.3885290673146037e-07","6.3775837713679948e-07","6.5332063706368466e-07","6.4335361045905588e-07","6.0486033293070351e-07","6.2475593419776331e-07","6.0732374996706245e-07","6.0489569613921979e-07","6.1284227619878987e-07","6.2108762518216785e-07","6.1900460905360672e-07","6.0517042722237413e-07","0","6.228944702486235e-07","8.32475285227242e-07","6.9024745255080811e-07","0.027660937753133368","6.2480601037998261e-07","6.2364009112975973e-07","6.4272326872170174e-07","7.2892781851128193e-07","6.2685927131802936e-07","6.1023546446447136e-07","6.0538458365487107e-07","6.1618106539409653e-07","6.5972204816824854e-07","6.8129695777642906e-07","6.0684296152880865e-07","6.1484916714322562e-07","0","6.0486286088933968e-07","6.2978913132961446e-07","6.062929549664272e-07","6.0527095702355392e-07","6.0490227020165377e-07","0","6.0490041525413524e-07","6.3153273277897263e-07","0","4.2709129770633386e-06","6.0639029000944766e-07","6.1311740638812642e-07","6.0486032114539096e-07","6.0545649654473834e-07","6.0568160758347374e-07","6.0486034615898244e-07","6.2200570958767696e-07","6.0494417092376868e-07","6.3113892330188512e-07","6.4617282811063972e-07","6.4182141165015591e-07","6.0662730157205956e-07","0","6.3377845882223698e-07","6.0486032467015552e-07","6.0500754305498194e-07","6.0498210223966099e-07","6.3045026428841836e-07","6.1024907905497598e-07","6.0486452011687907e-07","6.27550662822588e-07","6.1082657047463403e-07","6.0490819095643867e-07","6.1441586540157954e-07","6.1180826391665474e-07","0","7.1296142997178909e-07","6.072914528356609e-07","6.0523941127982238e-07","6.0486406116353622e-07","6.456779423942833e-07","0","6.8347782411440972e-07","6.0793448418118467e-07","6.1850692100029763e-07","6.0486032114534151e-07","6.4304057733032987e-07","6.0486032114534151e-07","6.1921063393749391e-07","6.2403872366726306e-07","6.2756338272175474e-07","0","6.0486053746017163e-07","6.0486032114534151e-07","6.0486032114534151e-07","6.1900023913833651e-07"
"3","5.5765995680661177e-07","6.0345245149882185e-07","0","5.6662251527024877e-07","5.6795210505289616e-07","5.9829647122672559e-07","5.5920570293193648e-07","6.0579626437581633e-07","5.6829465121068801e-07","5.8399276484819746e-07","5.6004188143021282e-07","2.013218331797834e-06","0.013783701013756307","6.3042791380246246e-07","5.5645921497832787e-07","5.7292509200723834e-07","5.5653231323298212e-07","5.7175167783817554e-07","5.6704931693573285e-07","0","5.5908741040413915e-07","5.56488330729512e-07","5.8584417193674867e-07","6.4542483961996416e-07","5.8753491792815405e-07","5.7815464092055098e-07","5.6337386693695041e-07","5.5655891918427027e-07","5.6698791428895018e-07","5.5648966693443614e-07","5.6398351557092778e-07","5.7466602719183399e-07","0.032862032389679795","5.9397877199759169e-07","5.6280030035815016e-07","5.6517573057136603e-07","0","5.5649189425386818e-07","5.725031305923736e-07","5.6017896936508973e-07","5.5646160607059728e-07","5.564612417775106e-07","0","6.5584470374001953e-07","5.7292159904733088e-07","0","6.8670072784156219e-07","5.5889491313213071e-07","5.6223084732421803e-07","5.564592132433631e-07","6.0451913555649678e-07","5.5688117665322665e-07","5.5645923445221588e-07","5.6482801739098677e-07","5.6249471530724194e-07","5.5726484174206321e-07","5.8953219483794834e-07","5.8025904241663957e-07","5.567065399071382e-07","0","5.5700778250888848e-07","5.564592163578556e-07","5.5773202950501217e-07","5.7743517480395675e-07","5.7545046681833053e-07","5.6191427927954744e-07","5.5797362445814173e-07","5.6654556061959697e-07","5.6092928476057707e-07","5.568868598983409e-07","5.5666137597330033e-07","6.4311707732455437e-07","0","6.4338508688016703e-07","5.5969041291881059e-07","5.564595423904576e-07","5.5649217299765284e-07","5.7898354554950692e-07","0","6.2484808477745806e-07","5.5764042621965795e-07","5.5702568332646928e-07","5.5645921324330772e-07","5.8584669012840779e-07","5.5645921324330772e-07","6.1494927756981067e-07","5.6802880654361928e-07","7.5814316069156435e-07","0","5.5645939898392785e-07","5.5645921324330772e-07","5.5645921324330772e-07","5.5648526028206926e-07"
"4","6.9522830512985058e-07","6.9850899026103127e-07","0","7.2162012237365021e-07","7.0045040398030965e-07","7.4556767311636703e-07","6.9507093414104331e-07","7.3665713890611416e-07","7.1993072533289819e-07","7.2990151458710816e-07","6.9490414714648971e-07","1.0056182164886433e-06","7.1711082786402345e-07","7.0413474731097746e-07","6.9485938957531544e-07","7.1130180152576674e-07","7.2624182057714433e-07","7.1112210471689045e-07","8.2142314224751983e-07","0","6.9490811827625844e-07","6.9495730668373224e-07","7.4729204965391408e-07","7.9674406937636958e-07","7.3277662083080845e-07","7.6878839289090564e-07","7.3170541075703491e-07","6.9498622798952891e-07","7.0123792472493864e-07","6.9488024977090961e-07","6.9550442864038488e-07","6.9876276951961451e-07","7.4122662845698806e-07","7.3442846818104212e-07","7.6471088768515242e-07","7.0463492016050473e-07","0","1.1473463068827695e-06","6.9748514245971727e-07","6.9659242100541854e-07","6.9488191414962609e-07","7.5917788684562995e-07","0","6.9488958936894557e-07","7.1497646522907212e-07","0","7.6878346795799343e-07","6.9558831356087008e-07","7.1291418286630758e-07","6.9485938919478134e-07","6.955481739607973e-07","6.9492343384615393e-07","6.9485942269980611e-07","7.1269259360228711e-07","7.7853782544967352e-07","7.0197098177486912e-07","6.9491828411844004e-07","7.4447728359782738e-07","6.9509984218929236e-07","0","7.2005394737996121e-07","6.9486794332529112e-07","0.00044180992632020819","6.9490290757346689e-07","7.040749460074014e-07","7.101173825982952e-07","6.9487583437911481e-07","7.2710190699234825e-07","7.026251027351966e-07","6.949622889636334e-07","6.9485939003649629e-07","6.9491839104035944e-07","0","7.2331854391465101e-07","8.1312740967662453e-07","7.67018162209401e-07","8.5073990584219976e-07","8.8297689628406965e-07","0","0.032354628574234781","7.1031740980644413e-07","6.9860666699324853e-07","6.9485938919467641e-07","7.2494259361855308e-07","6.9485938919467641e-07","8.3968890611089649e-07","7.1056840220370048e-07","8.6960717807674468e-07","0","6.9485967326524545e-07","6.9485938919467641e-07","6.9485938919467641e-07","7.0015514460066707e-07"
"5","6.5321518601369131e-07","7.0306011811503062e-07","0","6.6428254655775578e-07","6.5118422922567327e-07","6.7813675871029774e-07","6.4581263063709996e-07","7.0762888510176113e-07","6.474105352933718e-07","6.817938880992075e-07","7.2363981332058857e-07","8.8910724800154204e-07","6.6807791337543161e-07","6.8267149882895683e-07","6.4332140601007576e-07","6.6445208492754278e-07","6.57036527860909e-07","6.4332348431862775e-07","6.4374458879867037e-07","0","6.4553827497114745e-07","6.5397201572022823e-07","6.9677792220742694e-07","7.149258890158207e-07","0.046050898104537129","6.5968259999693723e-07","6.7907800586134085e-07","7.5378878410904624e-07","6.6654859061940382e-07","6.4356942043993335e-07","6.4618286271070102e-07","6.4833361115272963e-07","7.0527767744375724e-07","7.3407625780756295e-07","7.0484919500123472e-07","6.8687819890952158e-07","0","6.4407636158983713e-07","6.7127333857225418e-07","6.476941435205803e-07","6.43651544127406e-07","6.4381499713791567e-07","0","7.004399718116988e-07","6.8148164212408944e-07","0","6.8994830218655608e-07","6.4404797039557195e-07","6.6436383188910616e-07","6.4332148960849404e-07","7.3987573187873004e-07","6.4390650283888858e-07","6.4332143316374097e-07","6.6094551311143272e-07","6.4886483101191432e-07","6.7019206874910321e-07","6.7859454645989417e-07","6.6722873853908989e-07","7.7744355300931427e-07","0","6.8337286790514717e-07","6.4332140963622381e-07","6.435954811617621e-07","6.4432897242445973e-07","6.8170552112387241e-07","6.7750210531000462e-07","7.1763956883312804e-07","6.7384474524534363e-07","6.4985269100051683e-07","6.433584781998211e-07","6.4782435643273771e-07","6.477189213471144e-07","0","7.4557117166216222e-07","6.6111048661055886e-07","7.4720498101252231e-07","6.9188801738129436e-07","6.9216703740500974e-07","0","7.6684282928773132e-07","6.8882834271286629e-07","6.5538524551264441e-07","6.433214056987308e-07","6.6572886042027172e-07","6.433214056987308e-07","7.1367205390556705e-07","6.6827385030530914e-07","7.3346351086605459e-07","0","6.4332164965994065e-07","6.433214056987308e-07","6.433214056987308e-07","6.4706600912765576e-07"
"6","6.3533617299270801e-07","6.3676164517227271e-07","0","6.502324499608996e-07","6.3691082571293586e-07","6.3308231841089838e-07","6.4680758293211494e-07","6.4211969342278456e-07","6.3659768421635872e-07","6.7295262736303361e-07","6.2772674951742922e-07","6.2787952133035735e-07","6.4374715390624058e-07","6.299410534748464e-07","6.273615160772859e-07","6.3532585049922559e-07","6.3945898478592371e-07","6.5351807937565298e-07","6.2746969376681924e-07","0","6.3758369058686134e-07","6.6674283663088048e-07","6.7431244729753747e-07","7.2329009928599083e-07","6.500760982964963e-07","6.3468328616491739e-07","6.415167393153299e-07","7.9279631379129206e-07","6.3310109778881265e-07","6.2736513074372759e-07","6.2736469127108289e-07","6.3264280230916526e-07","7.0109496401759128e-07","6.8764860654898928e-07","6.273991009714472e-07","6.3181216193989348e-07","0","6.2749062771892272e-07","6.8334551940193972e-07","6.2917553720946705e-07","6.2759420920610206e-07","6.2738368815111738e-07","0","6.2737339138629134e-07","6.3832604612781635e-07","0","6.6963269647892887e-07","6.2752396311744061e-07","6.3009824168990662e-07","6.2740194957020945e-07","6.2736413792302488e-07","6.3661657004295139e-07","6.2736154137947103e-07","6.3938038605528549e-07","6.2937424789636894e-07","6.4199906103750909e-07","6.4134730392306471e-07","6.5655827965236133e-07","0.0016177561541855135","0","6.2779240126440823e-07","6.2742864902371933e-07","6.2736151596296218e-07","6.2739004257423826e-07","6.4339184781483704e-07","6.3230243257245684e-07","6.5488237606668297e-07","6.3966394352389364e-07","6.3921325759099275e-07","6.2789135496118634e-07","6.3497543879526717e-07","6.3557872519766828e-07","0","6.6457541639027322e-07","6.3486045144759312e-07","6.2736215229310087e-07","6.273696730137445e-07","6.3237301231026013e-07","0","6.8043380141086464e-07","6.304381212485807e-07","6.3550104585559674e-07","6.2736151574162432e-07","6.4702772072154669e-07","6.2736151574162432e-07","6.3604683755295189e-07","6.4449386957632347e-07","6.8961443562663136e-07","0","6.2736174349398204e-07","6.2736151574162432e-07","6.2736151574162432e-07","6.2850306186060939e-07"
"7","6.0141175863537917e-07","6.1413491302777166e-07","0","6.2742602759888881e-07","6.0306753993677247e-07","6.2462401339014125e-07","6.0154623349272688e-07","6.1574863077517829e-07","6.0693250601517569e-07","6.377297580061556e-07","6.0092798146142522e-07","6.0019562632174992e-07","6.1924144426554062e-07","6.0853241702494273e-07","6.0019562278845733e-07","6.0778980750251342e-07","6.0023505427716102e-07","6.0265106640527405e-07","6.0028863971101838e-07","0","6.002197306354711e-07","6.0027923128025148e-07","6.2344085723788191e-07","6.8279834378210848e-07","6.1927256672815743e-07","6.0258975925655545e-07","6.8608094609456594e-07","6.2289909091258153e-07","6.1483827647143076e-07","6.0753690783207006e-07","6.0673571030063539e-07","6.0612771388212801e-07","6.3160146883523573e-07","6.3938191779364638e-07","6.0022243614949237e-07","6.0590002979444003e-07","0","6.411564609245547e-07","6.4671216925644672e-07","6.3407848202653476e-07","6.0030230773247026e-07","6.0050667775404936e-07","0","0.0008228785878520307","6.1454699163876194e-07","0","6.4967389274935518e-07","6.0021759604143577e-07","6.0967387606313462e-07","6.0019562245961584e-07","6.0903452957488413e-07","6.0841264872124443e-07","6.0019564537221367e-07","6.1001488503579475e-07","6.0020163000867422e-07","6.0662359516393982e-07","6.1147043234083345e-07","6.0927851862959529e-07","6.0099454408054484e-07","0","6.0026933453026034e-07","6.0019562572847692e-07","6.0031945723076254e-07","6.023749730671046e-07","6.1168337639716046e-07","6.3734402060990209e-07","6.0265648568761804e-07","6.1025712303704362e-07","6.1546661914039964e-07","6.0023424393771037e-07","6.0115966223173737e-07","6.8552610721477927e-07","0","6.3299669944918698e-07","6.1716324486307169e-07","6.7844964256758144e-07","6.0029390649008926e-07","6.3530407333221726e-07","0","6.9630012683418223e-07","6.0019564332462258e-07","6.3265350046746889e-07","6.001956224595593e-07","6.0627957882457689e-07","6.001956224595593e-07","6.185453952024069e-07","6.1279491062907066e-07","6.7656655885843193e-07","0","6.0019583303078839e-07","6.001956224595593e-07","6.001956224595593e-07","6.0360372116335642e-07"
"8","7.1896415388932774e-07","7.2194871100522716e-07","0","6.7764596951968285e-07","7.0647562095771782e-07","6.9564461527237902e-07","6.6816802980759285e-07","7.063976223570629e-07","6.8926211667046302e-07","6.716831142868907e-07","6.6681734056872272e-07","1.3820426502429449e-06","6.8379177089055141e-07","6.8882137987531572e-07","6.6675235016147694e-07","6.7983868293605353e-07","6.9875802502291867e-07","6.6675235082442507e-07","9.7420491960573876e-07","0","6.6792827086396307e-07","6.7145018229602644e-07","6.893202987401654e-07","7.0598425398025264e-07","7.0372485283471241e-07","6.7630287956837632e-07","6.6704107083257106e-07","7.3286938894237341e-07","6.7079338001185583e-07","6.9047957849177815e-07","6.6881834978009693e-07","6.7406904791316725e-07","6.9269366666649661e-07","6.8018646045207723e-07","6.6909701067615309e-07","6.7105553134727288e-07","0","6.6708260388891728e-07","6.6835976265371353e-07","6.671559871073349e-07","6.6680537956730015e-07","6.6784509724858881e-07","0","6.6769469278302086e-07","6.8074107730795273e-07","0","6.6680162562879521e-07","6.6949455313104674e-07","6.7427073139601762e-07","6.6675234980765222e-07","6.6675636739513497e-07","6.706560693278354e-07","6.6675237783182548e-07","6.8672464994227235e-07","6.6978705613233448e-07","6.8370205324309671e-07","6.9079950035479818e-07","6.7576640628505852e-07","8.3641393323005011e-07","0","6.8247764333166807e-07","6.6675235766676399e-07","6.6675239176638663e-07","6.6684208141513179e-07","6.8268882116901223e-07","7.1603501422952143e-07","6.8001209658110811e-07","6.8401696379103883e-07","6.7017385754084736e-07","6.6680227846135197e-07","7.0017765165661202e-07","6.6689229533907218e-07","0","7.1516628384760123e-07","6.7843797899730755e-07","9.3096597548445826e-07","8.0397105346900402e-07","7.2282628282370961e-07","0","7.7785559373696468e-07","6.8470954842934628e-07","6.7594607992735595e-07","6.6675234980757292e-07","6.8405418331209116e-07","6.6675234980757292e-07","6.8684467508531167e-07","7.3062351747521885e-07","6.8733270103186718e-07","0","6.6675260890999793e-07","6.6675234980757292e-07","6.6675234980757292e-07","6.7028079692157986e-07"
"9","4.6737730249866762e-07","4.6656108554023537e-07","0","4.8181577513781272e-07","4.6708005268302355e-07","4.7439223893607371e-07","4.5281793163094157e-07","4.7145090597344494e-07","4.5643345796739655e-07","4.6341918265274344e-07","4.5169383454878166e-07","4.5199607829463616e-07","4.7682738247890978e-07","4.6068156672999489e-07","4.517164141706119e-07","4.6705182011696506e-07","4.7034056837824162e-07","4.7714903696526779e-07","4.5237417685676411e-07","0","4.7094267496234814e-07","4.5169502382218825e-07","4.9252927787362888e-07","5.0379402263199698e-07","4.6900314217493601e-07","4.6087908448625604e-07","4.6372163336074294e-07","4.9354644536769154e-07","4.6088770473078088e-07","4.5170731593443533e-07","4.5236452912242085e-07","4.6204829145639335e-07","4.8909972180537666e-07","4.7529281645566313e-07","4.5383716155079129e-07","4.7065247195376028e-07","0","5.8427662000397593e-07","4.5364548910503e-07","4.552430902120001e-07","4.9087102283865161e-07","4.5449277403809016e-07","0","4.8448598048602491e-07","4.8606194163128974e-07","0","4.60937555246238e-07","5.0365196614937614e-07","4.6025038856064157e-07","4.5166105660314874e-07","4.5713265313231396e-07","4.583707946794052e-07","1.3289460552517687e-05","4.7081211187616177e-07","4.55884416065073e-07","4.8222539137838815e-07","4.9870541299491201e-07","4.6597892895176881e-07","5.5509284916285933e-07","0","4.5641749516818244e-07","4.516642191545245e-07","4.5235007830624965e-07","4.5301373545598806e-07","4.6526869119269417e-07","4.782296745138015e-07","4.5772721690619441e-07","4.6533787905550453e-07","4.5543279586470298e-07","4.5343223247767322e-07","4.5697457608329656e-07","4.5487611487458602e-07","0","4.9380419311895032e-07","4.6212021195762055e-07","4.516844083471495e-07","5.142276925097717e-07","4.7707839701588572e-07","0","5.1832989747791452e-07","4.5350770402671603e-07","4.6271704725316633e-07","4.5166105660311422e-07","4.5975531177700446e-07","4.5166105660311422e-07","4.8880483776601653e-07","4.699053988786541e-07","5.5862353348951523e-07","0","4.5166117756564632e-07","4.5166105660311422e-07","4.5166105660311422e-07","4.544542588232447e-07"
