Animal,alligator,cow,horse,puppy,animal,deer,kitty,rooster,ant,dog,lamb,sheep,bear,donkey,lion,squirrel,bee,duck,monkey,teddybear,bird,moose,tiger,bug,fish,mouse,turkey,bunny,frog,owl,turtle,butterfly,giraffe,penguin,wolf,cat,goose,pig,zebra,chicken,hen,pony,elephant,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,airplane,car,sled,tricycle,bicycle,firetruck,stroller,truck,boat,helicopter,tractor,bus,motorcycle,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy,ball,bubble,glue,puzzle,balloon,chalk,pen,story,bat,crayon,pencil,toy,block,doll,play dough,book,game,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and Drink,apple,corn,lollipop,pretzel,applesauce,cracker,meat,pudding,banana,donut,melon,pumpkin,bean,drink,milk,raisin,bread,egg,muffin,salt,butter,fish,noodle,sandwich,cake,food,nut,sauce,candy,french fries,orange,soda,pop,carrot,grape,pancake,soup,cereal,green bean,peanut butter,spaghetti,cheerio,gum,pea,strawberry,cheese,hamburger,pickle,toast,chicken,ice,pizza,tuna,chocolate,ice cream,popcorn,vanilla,coffee,jello,popsicle,vitamin,cole,jelly,potato,water,cookie,huice,potato chip,yogurt
Clothing,bead,dress,pajama,sneaker,belt,glove,pant,snowsuit,bib,bat,scarf,sock,boot,jacket,shirt,sweater,button,jean,shoe,tight,coat,mitten,short,underpant,diaper,necklace,slipper,zipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Parts,ankle,eye,knee,shoulder,arm,face,leg,tooth,belly button,feet,lip,toe,buttock,bottom,finger,mouth,tongue,cheek,hair,nose,tummy,chin,hand,owie,boo boo,vagina,ear,head,penis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Household Items,basket,dish,mop,spoon,blanket,fork,nail,tape,bottle,garbage,napkin,telephone,box,glass,paper,tissue,kleenex,bowl,penny,toothbrush,broom,hammer,picture,towel,brush,jar,pillow,trash,bucket,keys,plant,tray,camera,knife,plate,vacuum,can,lamp,purse,walker,clock,light,radio,watch,comb,medicine,scissor,cup,money,soap,,,,,,,,,,,,,,,,,,,
Furniture and Rooms,basement,crib,play pen,stair,bathroom,door,porch,stove,bathtub,drawer,potty,table,bed,dryer,refrigerator,TV,bedroom,garage,rocking chair,washing machine,bench,high chair,room,window,chair,kitchen,shower,closet,living room,sink,couch,oven,sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outside Things,backyard,lawn mower,sidewalk,stone,cloud,moon,sky,street,flag,pool,slide,sun,flower,rain,snow,swing,garden,rock,snowman,tree,hose,sandbox,star,swind,ladder,showel,stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Places to Go,beach,farm,park,woods,camping,gas station,party,work,circus,house,playground,zoo,country,movie,school,downtown,outside,store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,aunt,cowboy,lady,baby,daddy,mailman,police,babysitter,doctor,man,sister,fireman,mommy,teacher,boy,friend,nurse,uncle,brother,girl,child,grandma,people,clown,grandpa,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pronouns,he,me,their,we,her,mine,them,you,hers,my,these,your,him,myself,they,yourself,his,our,this,i,she,those,it,that,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
