topic,alligator,ant,babybeluga,bear,bee,bird,birdie,bunny,butterfly,cat,caterpillar,cheetah,chicken,chickens,chicky,cow,crab,cricket,crocodile,deeno,deer,dino,dinosaur,dinosaurs,dog,doggy,donkey,dragon,duck,duckling,ducky,elephant,fish,fishy,fox,frog,frogger,froggy,giraffe,goat,goldfish,goose,gummybear,hippo,horse,horsey,jellyfish,kangaroo,kitty,kittycat,ladybug,lamb,lamby,lion,llama,monkey,monkeys,mouse,octopus,orca,owl,peacock,peep,penguin,pig,piggy,pony,puppy,rabbit,raccoon,reindeer,robin,scuttlebug,shark,sheep,skunk,snail,snake,snowleopard,spider,squirrel,teddy,teddybear,tiger,trex,turkey,turtle,whale,wonderpets,wormy,wubba,wubby,zebra
0,0,0,0,0,0,0,0,0,0,0,9.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.000140869,0,0.000110503,0,8.08E-05,0,0,0,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0.000270964,0,0,0.000206674,0.000222896,0,0,0,0.000126177,0,0.000576064,9.52E-05,0,2.85E-05,0,1.06E-05,0,0,0,0,0.000422659,0,0,0,0,0,0,0,0,0.000191964,0,8.07E-05,0,0.00013178,0,0,0,0,0,0.000181276,0,0,0,0,7.67E-05,0,0,0.000441243,0,0,3.64E-05,0,0,0.000101757,0,0.000259613,0,0,0,0.000137926,0,2.55E-06,0,0,0,0,0,0,0
2,0,4.60E-05,0,1.93E-05,0.000127718,0.000117544,0,0,0,0,0,1.46E-05,3.19E-05,1.27E-05,0,8.46E-06,0,0,1.04E-05,0,0,0,1.90E-05,1.09E-05,1.85E-05,0,2.80E-05,0,0,0,0,0,3.06E-05,2.68E-05,0.000230465,0,0,0,0,0,0,0,0,0,6.37E-05,0,0,3.95E-05,0,0,0,0,0,0,0,0,2.64E-05,0,1.94E-05,0,2.74E-05,0.000122394,0,0,0,0,0,0,0,7.87E-06,0,0.000115583,0,0,0,8.58E-06,0,0,0,0,0,0.000112103,0,0,0,0,2.43E-05,4.91E-05,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0.00013695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353486,0,0,0,0,2.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.000205023,0,0,0,0,0,0,0,0,0,0,2.59E-05,0,0,0,0,0.000789422,4.69E-05,0,0,0.000221398,0,0,0,0,0,0,0,0,0,5.77E-05,0,0,0,0,0,0,0.000424251,0,0,0,0,0,0,0,0,0.000210859,0,0,0,0.000246402,0,0,0,0,0,0,0,0,0,0,3.61E-05,0,2.68E-06,0.000126613,0,0,0,0,0,0,0,0.000158855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,4.43E-05,1.96E-05,0,0,0,0,0,7.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92E-05,0,0,0,0,3.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84E-05,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287371,0,0,0,0,0,0,0
